paper_id,pdf_pages,main_end_page_provisional,appendix_start_page_provisional,total_words,main_words_provisional,appendix_words_provisional,figure_captions,table_captions,algorithm_captions,numbered_equations_provisional,theorem_items,limitation_mentions_main,status,error
iclr-2026-009a09dc4347,21,21,2,10199,10199,9719,1,9,2,21,3,3,measured,
iclr-2026-0111e4fa230c,27,27,,10488,10488,0,15,8,0,1,0,3,measured,
iclr-2026-023366ecf605,46,46,,19671,19671,0,20,8,0,1,0,7,measured,
iclr-2026-031dd68824c4,25,25,,11355,11355,0,24,4,0,0,0,0,measured,
iclr-2026-0591912d4c5a,28,28,13,13927,13927,7132,7,18,0,0,0,3,measured,
iclr-2026-05937b7dc737,34,34,,12410,12410,0,2,4,2,20,36,2,measured,
iclr-2026-061ba26bb9ff,26,26,5,12093,12093,9513,10,0,0,67,0,1,measured,
iclr-2026-0853a1e684f7,33,33,,14515,14515,0,13,6,0,1,0,10,measured,
iclr-2026-09d94b8d6d44,32,32,5,11310,11310,8981,46,1,0,5,0,0,measured,
iclr-2026-0aa8e3fa3f6d,27,27,,15073,15073,0,9,2,0,0,6,13,measured,
iclr-2026-0aacf4e20785,26,26,,9571,9571,0,18,6,0,2,0,4,measured,
iclr-2026-0b114f73a492,35,35,19,16635,16635,7563,11,6,1,4,1,2,measured,
iclr-2026-0c8eb54755cf,62,62,13,21995,21995,14421,22,15,0,0,0,2,measured,
iclr-2026-0e6979a1fd18,25,25,11,12113,12113,6664,15,8,1,0,0,1,measured,
iclr-2026-0f7ec564e69d,14,14,,7902,7902,0,1,4,0,2,0,0,measured,
iclr-2026-0f9a4f0ba34a,27,27,,10592,10592,0,16,10,0,5,0,3,measured,
iclr-2026-106be5e431a2,20,20,11,9024,9024,4208,8,4,0,42,2,1,measured,
iclr-2026-12331806f03c,26,26,,10102,10102,0,5,10,5,16,0,1,measured,
iclr-2026-149f57fdf12b,44,44,16,22874,22874,14992,7,3,1,8,0,10,measured,
iclr-2026-159f6b7208d5,48,48,19,24120,24120,13511,8,5,0,20,155,3,measured,
iclr-2026-198f06993051,20,20,,9219,9219,0,8,7,1,1,0,0,measured,
iclr-2026-202252125f99,43,43,,15592,15592,0,15,7,1,42,26,0,measured,
iclr-2026-247f0a285827,20,20,,9891,9891,0,9,10,0,3,0,0,measured,
iclr-2026-24987e898413,33,33,14,15825,15825,8648,12,11,1,2,0,5,measured,
iclr-2026-255bea54f97f,23,23,14,10724,10724,3741,9,5,7,40,20,4,measured,
