paper_id,conference,year,title,authors,analysis_stratum,selection_flags,official_event_id,official_event_url,official_source_url,openreview_id,openreview_url,pdf_url,pdf_source_type,pdf_path,pdf_status
iclr-2026-8da8f79c49d5,ICLR,2026,$PhyWorldBench$: A Comprehensive Evaluation of Physical Realism in Text-to-Video Models,Jing Gu|Xian Liu|Yu Zeng|Ashwin Nagarajan|Fangrui Zhu|Daniel Hong|Yue Fan|Qianqi Yan|Kaiwen Zhou|Ming-Yu Liu|Xin Wang,oral,oral,10007120,https://iclr.cc/virtual/2026/oral/10007120,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,rlZeILv3fm,https://openreview.net/forum?id=rlZeILv3fm,https://proceedings.iclr.cc/paper_files/paper/2026/file/79d86433c2acd12b6fa98553435d226e-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-8da8f79c49d5.pdf,not_requested
iclr-2026-ff40de6c7ac1,ICLR,2026,$p\textrm{-less}$ Sampling: A Robust Hyperparameter-Free Approach for LLM Decoding,Runyan Tan|Shuang Wu|Phillip Howard,oral,oral,10010258,https://iclr.cc/virtual/2026/oral/10010258,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,ItFuNJQGH4,https://openreview.net/forum?id=ItFuNJQGH4,https://proceedings.iclr.cc/paper_files/paper/2026/file/c2366657bff61d33c048c92972b19369-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-ff40de6c7ac1.pdf,not_requested
iclr-2026-707ee355091a,ICLR,2026,A Representer Theorem for Hawkes Processes via Penalized Least Squares Minimization,Hideaki Kim|Tomoharu Iwata,oral,oral,10008158,https://iclr.cc/virtual/2026/oral/10008158,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,gJjRdLG5MY,https://openreview.net/forum?id=gJjRdLG5MY,https://proceedings.iclr.cc/paper_files/paper/2026/file/05afb889eb99af16bb46a7f2a3868bee-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-707ee355091a.pdf,not_requested
iclr-2026-3dfd982128a2,ICLR,2026,A Scalable Distributed Framework for Multimodal GigaVoxel Image Registration,Rohit Jena|Vedant Zope|Pratik A Chaudhari|James Gee,oral,oral,10011187,https://iclr.cc/virtual/2026/oral/10011187,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,8dLexnao2h,https://openreview.net/forum?id=8dLexnao2h,https://proceedings.iclr.cc/paper_files/paper/2026/file/c242f2b7f60d8c685b6481939330e241-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-3dfd982128a2.pdf,not_requested
iclr-2026-82ba4792ed68,ICLR,2026,Actions Speak Louder than Prompts: A Large-Scale Study of LLMs for Graph Inference,Ben Finkelshtein|Silviu Cucerzan|Sujay Kumar Jauhar|Ryen White,oral,oral,10009928,https://iclr.cc/virtual/2026/oral/10009928,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,MgJUj9Sk3C,https://openreview.net/forum?id=MgJUj9Sk3C,https://proceedings.iclr.cc/paper_files/paper/2026/file/ca3b1f24fc0238edf5ed1ad226b9d655-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-82ba4792ed68.pdf,not_requested
iclr-2026-b001d2f886cf,ICLR,2026,AdAEM: An Adaptively and Automated Extensible Measurement of LLMs' Value Difference,Jing Yao|Shitong Duan|Xiaoyuan Yi|Dongkuan Xu|Peng Zhang|Tun Lu|Ning Gu|Zhicheng Dou|Xing Xie,oral,oral,10007250,https://iclr.cc/virtual/2026/oral/10007250,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,qNlTH4kYJZ,https://openreview.net/forum?id=qNlTH4kYJZ,https://proceedings.iclr.cc/paper_files/paper/2026/file/4ae68faac832703b93c03887f28c6fbd-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-b001d2f886cf.pdf,not_requested
iclr-2026-86ded246ec76,ICLR,2026,Addressing divergent representations from causal interventions on neural networks,Satchel Grant|Simon Jerome Han|Alexa Tartaglini|Christopher Potts,oral,oral,10008488,https://iclr.cc/virtual/2026/oral/10008488,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,cZrTMqYVL6,https://openreview.net/forum?id=cZrTMqYVL6,https://proceedings.iclr.cc/paper_files/paper/2026/file/133e588e1429f9f1e25b215da145580e-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-86ded246ec76.pdf,not_requested
iclr-2026-fac989b896c5,ICLR,2026,"Agent Data Protocol: Unifying Datasets for Diverse, Effective Fine-tuning of LLM Agents",Yueqi Song|Ketan Ramaneti|Zaid Sheikh|Ziru Chen|Boyu Gou|Tianbao Xie|Yiheng Xu|Danyang Zhang|Apurva Gandhi|Fan Yang|Joseph Liu|Tianyue Ou|Zhihao Yuan|Frank F Xu|Shuyan Zhou|Xingyao Wang|Xiang Yue|Tao Yu|Huan Sun|Yu Su|Graham Neubig,oral,oral,10006994,https://iclr.cc/virtual/2026/oral/10006994,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,tG6301ORHd,https://openreview.net/forum?id=tG6301ORHd,https://proceedings.iclr.cc/paper_files/paper/2026/file/e79c09f39aca8507f527daad3601b3aa-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-fac989b896c5.pdf,not_requested
iclr-2026-fb08cee992a1,ICLR,2026,AgentGym-RL: An Open-Source Framework to Train LLM Agents for Long-Horizon Decision Making via Multi-Turn RL,Zhiheng Xi|Jixuan Huang|Chenyang Liao|Baodai Huang|Jiaqi Liu|Honglin Guo|yajie yang|Rui Zheng|Junjie Ye|Jiazheng Zhang|Wenxiang Chen|Wei He|Yiwen Ding|Guanyu Li|Zehui Chen|Zhengyin Du|Xuesong Yao|Yufei Xu|Jiecao Chen|Tao Gui|Zuxuan Wu|Qi Zhang|Xuanjing Huang|Yu-Gang Jiang,oral,oral,10008786,https://iclr.cc/virtual/2026/oral/10008786,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,ZgCCDwcGwn,https://openreview.net/forum?id=ZgCCDwcGwn,https://proceedings.iclr.cc/paper_files/paper/2026/file/1571ce1ff735be4551db50887043726e-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-fb08cee992a1.pdf,not_requested
iclr-2026-cf47de43dda1,ICLR,2026,AnyUp: Universal Feature Upsampling,Thomas Wimmer|Prune Truong|Marie-Julie Rakotosaona|Michael Oechsle|Federico Tombari|Bernt Schiele|Jan Eric Lenssen,oral,oral,10008914,https://iclr.cc/virtual/2026/oral/10008914,https://iclr.cc/static/virtual/data/iclr-2026-orals-posters.json,Y9UAgPehqo,https://openreview.net/forum?id=Y9UAgPehqo,https://proceedings.iclr.cc/paper_files/paper/2026/file/e440aff7f4879b6713867d22c5ec3958-Paper-Conference.pdf,iclr_official_proceedings,corpus/pdfs/iclr-2026-cf47de43dda1.pdf,not_requested
