source_version,conference,analysis_stratum,metric,n,mean,trimmed_mean_20,median,q1,q3,min,max
official_pdf_provisional_parser,ICLR,all,pdf_pages,200,32.805,30.725,31.0,24.0,39.0,13.0,88.0
official_pdf_provisional_parser,ICLR,all,total_words,200,14353.65,13409.141667,12943.0,10446.25,16753.25,6520.0,37524.0
official_pdf_provisional_parser,ICLR,all,main_words_provisional,200,14238.2,13358.9,12769.5,10414.75,16753.25,5322.0,37524.0
official_pdf_provisional_parser,ICLR,all,appendix_words_provisional,200,5576.42,4507.958333,5053.0,0.0,9587.0,0.0,23060.0
official_pdf_provisional_parser,ICLR,all,figure_captions,200,11.28,9.975,9.0,6.0,15.0,0.0,62.0
official_pdf_provisional_parser,ICLR,all,table_captions,200,9.035,7.483333,7.0,4.0,12.0,0.0,73.0
official_pdf_provisional_parser,ICLR,all,algorithm_captions,200,0.81,0.433333,0.0,0.0,1.0,0.0,7.0
official_pdf_provisional_parser,ICLR,all,numbered_equations_provisional,200,19.6,10.258333,8.0,3.0,22.0,0.0,322.0
official_pdf_provisional_parser,ICLR,all,theorem_items,200,9.665,2.591667,0.0,0.0,11.0,0.0,155.0
official_pdf_provisional_parser,ICLR,all,limitation_mentions_main,200,2.78,2.066667,2.0,1.0,4.0,0.0,17.0
official_pdf_provisional_parser,ICLR,oral,pdf_pages,198,32.823232,30.733333,31.0,24.0,38.75,13.0,88.0
official_pdf_provisional_parser,ICLR,oral,total_words,198,14331.707071,13400.508333,12943.0,10430.75,16705.5,6520.0,37524.0
official_pdf_provisional_parser,ICLR,oral,main_words_provisional,198,14215.090909,13349.25,12769.5,10398.25,16705.5,5322.0,37524.0
official_pdf_provisional_parser,ICLR,oral,appendix_words_provisional,198,5609.727273,4565.258333,5061.0,0.0,9675.0,0.0,23060.0
official_pdf_provisional_parser,ICLR,oral,figure_captions,198,11.353535,10.041667,9.5,6.0,15.0,0.0,62.0
official_pdf_provisional_parser,ICLR,oral,table_captions,198,9.075758,7.508333,7.0,4.0,12.0,0.0,73.0
official_pdf_provisional_parser,ICLR,oral,algorithm_captions,198,0.818182,0.441667,0.0,0.0,1.0,0.0,7.0
official_pdf_provisional_parser,ICLR,oral,numbered_equations_provisional,198,19.651515,10.258333,8.0,3.25,21.75,0.0,322.0
official_pdf_provisional_parser,ICLR,oral,theorem_items,198,9.641414,2.591667,0.0,0.0,10.75,0.0,155.0
official_pdf_provisional_parser,ICLR,oral,limitation_mentions_main,198,2.757576,2.058333,2.0,1.0,4.0,0.0,17.0
official_pdf_provisional_parser,ICLR,outstanding,pdf_pages,2,31.0,31.0,31.0,26.0,36.0,21.0,41.0
official_pdf_provisional_parser,ICLR,outstanding,total_words,2,16526.0,16526.0,16526.0,13845.0,19207.0,11164.0,21888.0
official_pdf_provisional_parser,ICLR,outstanding,main_words_provisional,2,16526.0,16526.0,16526.0,13845.0,19207.0,11164.0,21888.0
official_pdf_provisional_parser,ICLR,outstanding,appendix_words_provisional,2,2279.0,2279.0,2279.0,1139.5,3418.5,0.0,4558.0
official_pdf_provisional_parser,ICLR,outstanding,figure_captions,2,4.0,4.0,4.0,2.0,6.0,0.0,8.0
official_pdf_provisional_parser,ICLR,outstanding,table_captions,2,5.0,5.0,5.0,2.5,7.5,0.0,10.0
official_pdf_provisional_parser,ICLR,outstanding,algorithm_captions,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
official_pdf_provisional_parser,ICLR,outstanding,numbered_equations_provisional,2,14.5,14.5,14.5,8.25,20.75,2.0,27.0
official_pdf_provisional_parser,ICLR,outstanding,theorem_items,2,12.0,12.0,12.0,6.0,18.0,0.0,24.0
official_pdf_provisional_parser,ICLR,outstanding,limitation_mentions_main,2,5.0,5.0,5.0,3.5,6.5,2.0,8.0
arxiv_preprint_provisional_parser,ICML,all,pdf_pages,200,31.245,27.925,26.0,22.0,36.25,11.0,109.0
arxiv_preprint_provisional_parser,ICML,all,total_words,200,13636.19,12502.683333,12694.0,9824.0,15323.0,6379.0,38286.0
arxiv_preprint_provisional_parser,ICML,all,main_words_provisional,200,10474.865,9385.833333,9389.5,5841.0,13379.75,3510.0,38286.0
arxiv_preprint_provisional_parser,ICML,all,appendix_words_provisional,200,7134.925,6121.625,5910.5,3348.75,9707.0,0.0,36823.0
arxiv_preprint_provisional_parser,ICML,all,figure_captions,200,11.535,9.425,9.5,5.75,14.0,0.0,91.0
arxiv_preprint_provisional_parser,ICML,all,table_captions,200,7.625,6.475,6.0,3.0,10.25,0.0,32.0
arxiv_preprint_provisional_parser,ICML,all,algorithm_captions,200,0.895,0.483333,0.0,0.0,1.0,0.0,9.0
arxiv_preprint_provisional_parser,ICML,all,numbered_equations_provisional,200,25.165,14.525,14.0,4.75,27.25,0.0,296.0
arxiv_preprint_provisional_parser,ICML,all,theorem_items,200,13.985,3.816667,0.0,0.0,14.25,0.0,211.0
arxiv_preprint_provisional_parser,ICML,all,limitation_mentions_main,200,2.46,2.033333,2.0,1.0,3.0,0.0,14.0
arxiv_preprint_provisional_parser,ICML,oral,pdf_pages,99,31.69697,28.459016,27.0,22.0,36.0,15.0,109.0
arxiv_preprint_provisional_parser,ICML,oral,total_words,99,13794.939394,12612.885246,12900.0,10067.0,15139.5,6379.0,38286.0
arxiv_preprint_provisional_parser,ICML,oral,main_words_provisional,99,10273.555556,9218.95082,9427.0,5747.0,13196.0,4134.0,38286.0
arxiv_preprint_provisional_parser,ICML,oral,appendix_words_provisional,99,7560.030303,6485.688525,5984.0,3674.5,10328.0,0.0,36823.0
arxiv_preprint_provisional_parser,ICML,oral,figure_captions,99,12.939394,10.57377,10.0,6.5,16.0,1.0,91.0
arxiv_preprint_provisional_parser,ICML,oral,table_captions,99,7.878788,6.672131,7.0,3.0,11.0,0.0,32.0
arxiv_preprint_provisional_parser,ICML,oral,algorithm_captions,99,0.858586,0.508197,1.0,0.0,1.0,0.0,9.0
arxiv_preprint_provisional_parser,ICML,oral,numbered_equations_provisional,99,23.010101,12.934426,11.0,2.0,27.0,0.0,296.0
arxiv_preprint_provisional_parser,ICML,oral,theorem_items,99,14.040404,3.737705,0.0,0.0,12.5,0.0,211.0
arxiv_preprint_provisional_parser,ICML,oral,limitation_mentions_main,99,2.525253,1.95082,2.0,1.0,3.0,0.0,14.0
arxiv_preprint_provisional_parser,ICML,outstanding,pdf_pages,2,31.0,31.0,31.0,25.0,37.0,19.0,43.0
