function,papers_present,paper_prevalence,conference_equal_prevalence,mentions_per_paper,conference_equal_mentions_per_paper,first_normalized_position_mean,first_normalized_position_median
object_scope,250,1.0,1.0,1.52,1.501666667,0.001466667,0.0
problem_gap,237,0.948,0.945,1.676,1.663333333,0.105666521,0.111111111
core_idea,243,0.972,0.97,1.708,1.676666667,0.310311225,0.333333333
method,245,0.98,0.978333333,2.512,2.485,0.360213064,0.333333333
theory,118,0.472,0.481666667,0.92,0.948333333,0.481822156,0.5
experimental_setup,190,0.76,0.75,0.992,0.961666667,0.727554113,0.8
quantitative_result,139,0.556,0.538333333,0.8,0.765,0.745913399,0.8
qualitative_result,229,0.916,0.91,1.704,1.68,0.666278033,0.714285714
limitation,74,0.296,0.283333333,0.384,0.366666667,0.44463457,0.366666667
impact_claim,236,0.944,0.936666667,1.716,1.676666667,0.717729963,0.833333333
