dimension,value,papers,papers_present,paper_prevalence,conference_equal_prevalence,mean_count_per_paper,conference_equal_mean_count,median_count_per_paper
adverse_strategy_placement,abstract,250,51,0.204,0.19,0.216,0.201666667,0.0
adverse_strategy_placement,appendix,250,216,0.864,0.86,2.108,2.025,2.0
adverse_strategy_placement,conclusion_or_dedicated_limitations,250,111,0.444,0.448333333,0.532,0.536666667,0.0
adverse_strategy_placement,introduction,250,22,0.088,0.081666667,0.1,0.091666667,0.0
adverse_strategy_placement,main_body_other,250,248,0.992,0.99,3.508,3.413333333,4.0
appendix_category,ablation,250,93,0.372,0.36,0.536,0.521666667,0.0
appendix_category,additional_result,250,204,0.816,0.805,1.772,1.703333333,1.0
appendix_category,broader_impact,250,15,0.06,0.053333333,0.06,0.053333333,0.0
appendix_category,dataset_detail,250,113,0.452,0.443333333,0.632,0.61,0.0
appendix_category,ethics_impact,250,19,0.076,0.066666667,0.084,0.075,0.0
appendix_category,extended_method,250,170,0.68,0.68,1.204,1.195,1.0
appendix_category,failure_case,250,50,0.2,0.19,0.224,0.213333333,0.0
appendix_category,hyperparameter,250,77,0.308,0.325,0.352,0.37,0.0
appendix_category,implementation_detail,250,186,0.744,0.74,1.248,1.226666667,1.0
appendix_category,other,250,151,0.604,0.583333333,1.044,0.99,1.0
appendix_category,proof,250,111,0.444,0.455,1.272,1.313333333,0.0
appendix_category,qualitative_example,250,112,0.448,0.441666667,0.588,0.571666667,0.0
appendix_category,reproducibility,250,93,0.372,0.371666667,0.472,0.476666667,0.0
appendix_category,review_response_residue,250,3,0.012,0.011666667,0.02,0.018333333,0.0
appendix_category,robustness,250,113,0.452,0.446666667,0.676,0.66,0.0
claim_status,closed,250,229,0.916,0.92,2.284,2.233333333,2.0
claim_status,not_testable_here,250,98,0.392,0.395,0.412,0.413333333,0.0
claim_status,open,250,84,0.336,0.33,0.372,0.361666667,0.0
claim_status,partially_closed,250,250,1.0,1.0,4.82,4.7,5.0
