field,conference,papers,papers_present,prevalence
research_questions_or_hypotheses,ALL,250,92,0.368000
research_questions_or_hypotheses,ICLR,150,49,0.326667
research_questions_or_hypotheses,ICML,100,43,0.430000
data_or_dataset,ALL,250,198,0.792000
data_or_dataset,ICLR,150,127,0.846667
data_or_dataset,ICML,100,71,0.710000
task_or_environment,ALL,250,167,0.668000
task_or_environment,ICLR,150,104,0.693333
task_or_environment,ICML,100,63,0.630000
models_or_architecture,ALL,250,177,0.708000
models_or_architecture,ICLR,150,110,0.733333
models_or_architecture,ICML,100,67,0.670000
baselines_or_comparators,ALL,250,185,0.740000
baselines_or_comparators,ICLR,150,105,0.700000
baselines_or_comparators,ICML,100,80,0.800000
metrics_or_evaluation,ALL,250,204,0.816000
metrics_or_evaluation,ICLR,150,123,0.820000
metrics_or_evaluation,ICML,100,81,0.810000
seeds_or_repeats,ALL,250,94,0.376000
seeds_or_repeats,ICLR,150,55,0.366667
seeds_or_repeats,ICML,100,39,0.390000
budget_or_training_compute,ALL,250,176,0.704000
budget_or_training_compute,ICLR,150,110,0.733333
budget_or_training_compute,ICML,100,66,0.660000
hyperparameters_or_protocol,ALL,250,126,0.504000
hyperparameters_or_protocol,ICLR,150,69,0.460000
hyperparameters_or_protocol,ICML,100,57,0.570000
hardware_or_software_runtime,ALL,250,112,0.448000
hardware_or_software_runtime,ICLR,150,69,0.460000
hardware_or_software_runtime,ICML,100,43,0.430000
implementation_source_or_repro,ALL,250,137,0.548000
implementation_source_or_repro,ICLR,150,82,0.546667
implementation_source_or_repro,ICML,100,55,0.550000
leakage_or_contamination_control,ALL,250,53,0.212000
leakage_or_contamination_control,ICLR,150,37,0.246667
leakage_or_contamination_control,ICML,100,16,0.160000
controls_or_matching,ALL,250,159,0.636000
controls_or_matching,ICLR,150,87,0.580000
controls_or_matching,ICML,100,72,0.720000
failure_or_stopping_criterion,ALL,250,48,0.192000
failure_or_stopping_criterion,ICLR,150,29,0.193333
failure_or_stopping_criterion,ICML,100,19,0.190000
human_evaluation_or_annotation,ALL,250,32,0.128000
human_evaluation_or_annotation,ICLR,150,19,0.126667
human_evaluation_or_annotation,ICML,100,13,0.130000
