category,conference,papers,papers_present,prevalence
scope,ALL,250,221,0.884000
scope,ICLR,150,134,0.893333
scope,ICML,100,87,0.870000
assumption,ALL,250,157,0.628000
assumption,ICLR,150,94,0.626667
assumption,ICML,100,63,0.630000
compute,ALL,250,155,0.620000
compute,ICLR,150,92,0.613333
compute,ICML,100,63,0.630000
data,ALL,250,177,0.708000
data,ICLR,150,113,0.753333
data,ICML,100,64,0.640000
metric,ALL,250,180,0.720000
metric,ICLR,150,115,0.766667
metric,ICML,100,65,0.650000
baseline,ALL,250,102,0.408000
baseline,ICLR,150,66,0.440000
baseline,ICML,100,36,0.360000
generality,ALL,250,127,0.508000
generality,ICLR,150,76,0.506667
generality,ICML,100,51,0.510000
causality,ALL,250,95,0.380000
causality,ICLR,150,63,0.420000
causality,ICML,100,32,0.320000
deployment,ALL,250,141,0.564000
deployment,ICLR,150,84,0.560000
deployment,ICML,100,57,0.570000
ethics,ALL,250,101,0.404000
ethics,ICLR,150,57,0.380000
ethics,ICML,100,44,0.440000
