module,papers,papers_present,presence_share,conference_equal_presence_share,estimated_words_mean,estimated_words_median,main_word_share_mean,main_word_share_median,main_word_share_q1,main_word_share_q3,conference_equal_main_word_share,normalized_word_share_mean,normalized_word_share_median,normalized_word_share_q1,normalized_word_share_q3,conference_equal_normalized_word_share,iclr_normalized_word_share,icml_normalized_word_share,figures_mean,conference_equal_figures_mean,iclr_figures_mean,icml_figures_mean,tables_mean,conference_equal_tables_mean,iclr_tables_mean,icml_tables_mean,algorithms_mean,conference_equal_algorithms_mean,displayed_equations_mean,conference_equal_displayed_equations_mean,iclr_displayed_equations_mean,icml_displayed_equations_mean,visual_objects_per_1000_words,equations_per_1000_words
abstract,250,250,1.0,1.0,188.116,181.0,0.034149761,0.032850064,0.028,0.04,0.033647851,0.033912429,0.032472746,0.028066382,0.039840017,0.033396839,0.03597479,0.030818888,0.108,0.105,0.12,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.574113845,0.0
introduction,250,250,1.0,1.0,831.252,781.5,0.148237079,0.142545,0.122175,0.173225,0.148455097,0.148157522,0.143283495,0.122554979,0.174829525,0.148375038,0.147287457,0.14946262,0.5,0.491666667,0.533333333,0.45,0.028,0.026666667,0.033333333,0.02,0.008,0.01,0.084,0.095,0.04,0.15,0.644810479,0.101052388
related_work,250,248,0.992,0.991666667,549.868,506.5,0.088036552,0.08925,0.06622975,0.113,0.088247882,0.084108808,0.084233714,0.061542124,0.109934617,0.084315262,0.08328299,0.085347534,0.024,0.023333333,0.026666667,0.02,0.036,0.03,0.06,0.0,0.0,0.0,0.044,0.041666667,0.053333333,0.03,0.109117097,0.080019205
method,250,250,1.0,1.0,1377.176,1307.5,0.239738913,0.2324,0.1783265,0.288475,0.239234941,0.238587874,0.231803997,0.179106886,0.286185763,0.238320088,0.239659018,0.236981158,1.204,1.21,1.18,1.24,0.116,0.118333333,0.106666667,0.13,0.368,0.388333333,5.172,5.518333333,3.786666667,7.25,1.225696643,3.755511278
theory,250,170,0.68,0.678333333,737.992,515.0,0.107157913,0.0903,0.0,0.163692,0.108391859,0.10000611,0.07964004,0.0,0.15832475,0.101527681,0.093919824,0.109135538,0.296,0.303333333,0.266666667,0.34,0.06,0.061666667,0.053333333,0.07,0.02,0.02,5.532,5.97,3.78,8.16,0.509490618,7.496016217
experimental_design,250,246,0.984,0.981666667,586.156,520.0,0.098274783,0.093,0.065535633,0.12175,0.098778465,0.097718207,0.093,0.065316461,0.121688872,0.098257601,0.095560628,0.100954575,0.16,0.16,0.16,0.16,0.12,0.125,0.1,0.15,0.008,0.006666667,0.2,0.213333333,0.146666667,0.28,0.491336777,0.341206095
results,250,247,0.988,0.985,986.46,876.5,0.172292893,0.15905,0.119075,0.220825,0.17041713,0.171991897,0.158431342,0.118942193,0.219780876,0.170139369,0.179402006,0.160876733,2.28,2.336666667,2.053333333,2.62,2.08,2.09,2.04,2.14,0.0,0.0,0.1,0.111666667,0.053333333,0.17,4.419844697,0.101372585
ablation,250,211,0.844,0.831666667,426.608,360.0,0.059000679,0.05133,0.0,0.093694,0.057845484,0.054784282,0.048588882,0.0,0.09,0.053810196,0.058680625,0.048939768,1.532,1.668333333,0.986666667,2.35,0.916,0.903333333,0.966666667,0.84,0.0,0.0,0.056,0.063333333,0.026666667,0.1,5.738289015,0.131268049
conclusion,250,242,0.968,0.965,164.944,140.0,0.028849129,0.0259155,0.01955,0.0347385,0.028869242,0.028678114,0.0259155,0.019550493,0.033811847,0.028715822,0.02852728,0.028904365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limitations,250,189,0.756,0.758333333,159.212,115.0,0.021493669,0.0168585,0.0,0.031,0.021813721,0.017914101,0.010437495,0.0,0.027611779,0.018527544,0.015460329,0.02159476,0.032,0.028333333,0.046666667,0.01,0.016,0.013333333,0.026666667,0.0,0.0,0.0,0.008,0.006666667,0.013333333,0.0,0.301484813,0.050247469
appendix,250,245,0.98,0.981666667,6152.668,4911.5,0.0,0.0,0.0,0.0,0.0,,,,,,,,6.776,6.961666667,6.033333333,7.89,6.004,5.848333333,6.626666667,5.07,0.58,0.595,18.312,19.61,13.12,26.1,2.171415718,2.976269807
other,250,244,0.976,0.973333333,1327.424,1217.0,0.05846452,0.036,0.013,0.0839605,0.058785021,0.024140657,0.0,0.0,0.027565744,0.024614558,0.022245053,0.026984062,0.032,0.031666667,0.033333333,0.03,0.008,0.006666667,0.013333333,0.0,0.0,0.0,0.224,0.251666667,0.113333333,0.39,0.030133552,0.168747891
