module,move,papers_present,paper_prevalence,conference_equal_prevalence,count,mean_count_per_paper
introduction,context,168,0.672,0.695,214,0.856
introduction,contribution_list,149,0.596,0.606666667,240,0.96
introduction,failure_of_prior_work,128,0.512,0.535,157,0.628
introduction,problem,123,0.492,0.513333333,141,0.564
introduction,core_idea,112,0.448,0.471666667,115,0.46
introduction,missing_insight,105,0.42,0.433333333,106,0.424
introduction,result_preview,99,0.396,0.41,105,0.42
introduction,method_preview,96,0.384,0.391666667,116,0.464
introduction,scope_boundary,30,0.12,0.123333333,31,0.124
introduction,theory_preview,22,0.088,0.1,25,0.1
introduction,roadmap,11,0.044,0.045,11,0.044
method,define_component,182,0.728,0.738333333,446,1.784
method,setup_notation,175,0.7,0.716666667,223,0.892
method,state_problem,172,0.688,0.696666667,254,1.016
method,instantiate_algorithm,166,0.664,0.678333333,252,1.008
method,derive,164,0.656,0.675,341,1.364
method,explain_mechanism,129,0.516,0.533333333,170,0.68
method,connect_to_prediction,114,0.456,0.466666667,153,0.612
method,connect_to_experiment,108,0.432,0.436666667,132,0.528
method,contrast_alternative,90,0.36,0.36,111,0.444
method,state_complexity,55,0.22,0.228333333,56,0.224
method,summarize,46,0.184,0.178333333,47,0.188
method,give_intuition,42,0.168,0.176666667,44,0.176
related_work,nearest_neighbor_contrast,112,0.448,0.473333333,154,0.616
related_work,taxonomy,110,0.44,0.463333333,177,0.708
related_work,gap_creation,68,0.272,0.281666667,70,0.28
related_work,credit_or_foundation,61,0.244,0.266666667,78,0.312
related_work,limitation_of_prior,61,0.244,0.253333333,68,0.272
related_work,positioning_only,16,0.064,0.068333333,17,0.068
related_work,chronology,12,0.048,0.048333333,13,0.052
