category,conference,papers,papers_present,prevalence
appendix_migration,ALL,250,216,0.864000
appendix_migration,ICLR,150,132,0.880000
appendix_migration,ICML,100,84,0.840000
position_delayed,ALL,250,92,0.368000
position_delayed,ICLR,150,70,0.466667
position_delayed,ICML,100,22,0.220000
tone_weakening,ALL,250,90,0.360000
tone_weakening,ICLR,150,51,0.340000
tone_weakening,ICML,100,39,0.390000
representative_case,ALL,250,79,0.316000
representative_case,ICLR,150,52,0.346667
representative_case,ICML,100,27,0.270000
aggregation_hides_heterogeneity,ALL,250,57,0.228000
aggregation_hides_heterogeneity,ICLR,150,42,0.280000
aggregation_hides_heterogeneity,ICML,100,15,0.150000
future_work_framing,ALL,250,49,0.196000
future_work_framing,ICLR,150,31,0.206667
future_work_framing,ICML,100,18,0.180000
denominator_choice,ALL,250,37,0.148000
denominator_choice,ICLR,150,26,0.173333
denominator_choice,ICML,100,11,0.110000
active_positive_discussion,ALL,250,30,0.120000
active_positive_discussion,ICLR,150,16,0.106667
active_positive_discussion,ICML,100,14,0.140000
metric_substitution,ALL,250,26,0.104000
metric_substitution,ICLR,150,19,0.126667
metric_substitution,ICML,100,7,0.070000
