metric,n,mean,median,q1,q3,min,max,conference_equal_mean,iclr_mean,icml_mean
abstract_has_any_result,250,0.98,1.0,1.0,1.0,0.0,1.0,0.976666667,0.993333333,0.96
abstract_has_limitation,250,0.296,0.0,0.0,1.0,0.0,1.0,0.283333333,0.346666667,0.22
abstract_has_qualitative_result,250,0.916,1.0,1.0,1.0,0.0,1.0,0.91,0.94,0.88
abstract_has_quantitative_result,250,0.556,1.0,0.0,1.0,0.0,1.0,0.538333333,0.626666667,0.45
abstract_has_theory,250,0.472,0.0,0.0,1.0,0.0,1.0,0.481666667,0.433333333,0.53
abstract_sentences,250,7.968,8.0,7.0,9.0,4.0,13.0,7.893333333,8.266666667,7.52
appendix_algorithms,250,0.58,0.0,0.0,1.0,0.0,7.0,0.595,0.52,0.67
appendix_displayed_equations,250,18.312,5.0,0.0,22.0,0.0,225.0,19.61,13.12,26.1
appendix_figures,250,6.776,4.0,2.0,9.0,0.0,130.0,6.961666667,6.033333333,7.89
appendix_main_text_calls,250,10.484,10.0,7.0,13.0,0.0,30.0,10.368333333,10.946666667,9.79
appendix_pages,250,16.65224,14.0,9.0,22.0,0.0,65.0,16.8152,16.0004,17.63
appendix_tables,250,6.004,4.0,1.0,8.0,0.0,68.0,5.848333333,6.626666667,5.07
appendix_to_main_page_ratio,250,1.692847132,1.4,0.888888889,2.2,0.0,7.625,1.715619393,1.601758089,1.829480696
appendix_to_main_word_ratio,250,1.015555753,0.836170486,0.541871886,1.307618885,0.0,5.334996881,1.009202971,1.04096688,0.977439062
appendix_words,250,6152.668,4911.5,2902.75,8100.5,0.0,29300.0,6198.083333333,5971.006666667,6425.16
claim_closure_rate,250,0.286403341,0.285714286,0.166666667,0.4,0.0,0.833333333,0.287349678,0.282617993,0.292081363
main_algorithms,250,0.404,0.0,0.0,1.0,0.0,4.0,0.425,0.32,0.53
main_displayed_equations,250,11.42,8.0,4.0,14.75,0.0,288.0,12.271666667,8.013333333,16.53
main_figures,250,6.168,5.0,4.0,7.0,0.0,132.0,6.358333333,5.406666667,7.31
main_pages,250,10.02012,10.0,9.0,10.0,8.0,40.0,10.030516667,9.978533333,10.0825
main_tables,250,3.38,3.0,1.25,5.0,0.0,13.0,3.375,3.4,3.35
main_visual_objects,250,9.952,9.0,7.0,12.0,0.0,134.0,10.158333333,9.126666667,11.19
main_words,250,6155.368,5687.5,5131.0,6478.0,3491.0,23418.0,6245.39,5795.28,6695.5
