module,source,target,papers_present,paper_prevalence,conference_equal_prevalence,count
introduction,context,problem,102,0.408,0.428333333,103
introduction,problem,failure_of_prior_work,66,0.264,0.278333333,67
introduction,failure_of_prior_work,missing_insight,63,0.252,0.266666667,63
introduction,missing_insight,core_idea,50,0.2,0.2,50
introduction,core_idea,method_preview,47,0.188,0.193333333,47
introduction,result_preview,contribution_list,46,0.184,0.181666667,46
introduction,method_preview,result_preview,44,0.176,0.175,46
introduction,contribution_list,contribution_list,43,0.172,0.171666667,91
introduction,context,failure_of_prior_work,38,0.152,0.161666667,39
introduction,failure_of_prior_work,core_idea,32,0.128,0.14,32
introduction,context,context,30,0.12,0.131666667,35
introduction,core_idea,contribution_list,27,0.108,0.11,27
introduction,method_preview,contribution_list,27,0.108,0.115,27
introduction,problem,core_idea,25,0.1,0.11,25
introduction,problem,missing_insight,19,0.076,0.076666667,19
introduction,core_idea,result_preview,18,0.072,0.076666667,18
introduction,missing_insight,contribution_list,18,0.072,0.075,18
introduction,failure_of_prior_work,failure_of_prior_work,17,0.068,0.071666667,20
introduction,missing_insight,method_preview,14,0.056,0.06,14
introduction,context,missing_insight,13,0.052,0.051666667,13
introduction,contribution_list,result_preview,13,0.052,0.055,13
introduction,failure_of_prior_work,problem,12,0.048,0.05,12
introduction,failure_of_prior_work,contribution_list,11,0.044,0.041666667,11
introduction,method_preview,method_preview,11,0.044,0.043333333,14
introduction,problem,method_preview,9,0.036,0.033333333,9
introduction,result_preview,scope_boundary,8,0.032,0.033333333,8
introduction,theory_preview,method_preview,8,0.032,0.033333333,8
introduction,contribution_list,roadmap,7,0.028,0.026666667,7
introduction,core_idea,theory_preview,7,0.028,0.03,7
introduction,method_preview,theory_preview,7,0.028,0.035,7
introduction,problem,problem,7,0.028,0.03,7
introduction,context,contribution_list,6,0.024,0.023333333,6
introduction,contribution_list,method_preview,6,0.024,0.028333333,6
introduction,contribution_list,scope_boundary,6,0.024,0.023333333,6
introduction,missing_insight,problem,6,0.024,0.026666667,6
introduction,theory_preview,contribution_list,6,0.024,0.03,6
introduction,failure_of_prior_work,method_preview,5,0.02,0.02,5
introduction,missing_insight,failure_of_prior_work,5,0.02,0.021666667,5
introduction,missing_insight,result_preview,5,0.02,0.023333333,5
introduction,problem,context,5,0.02,0.02,5
introduction,theory_preview,result_preview,5,0.02,0.025,5
introduction,context,method_preview,4,0.016,0.013333333,4
introduction,context,result_preview,4,0.016,0.015,4
introduction,contribution_list,theory_preview,4,0.016,0.02,4
