analysis_view,conference,analysis_stratum,dimension,value,papers,papers_present,paper_prevalence,design_weighted_prevalence,mean_count_per_paper,median_count_per_paper,status
foundation_200,ICLR,all,abstract_function,core_idea,15,14,0.933333333,0.968202466,0.933333333,1.0,interim
foundation_200,ICLR,all,abstract_function,experimental_setup,15,12,0.8,0.824140169,0.8,1.0,interim
foundation_200,ICLR,all,abstract_function,impact_claim,15,15,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,all,abstract_function,limitation,15,2,0.133333333,0.144062297,0.133333333,0.0,interim
foundation_200,ICLR,all,abstract_function,method,15,14,0.933333333,0.968202466,0.933333333,1.0,interim
foundation_200,ICLR,all,abstract_function,object_scope,15,15,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,all,abstract_function,problem_gap,15,14,0.933333333,0.968202466,0.933333333,1.0,interim
foundation_200,ICLR,all,abstract_function,qualitative_result,15,14,0.933333333,0.927968851,0.933333333,1.0,interim
foundation_200,ICLR,all,abstract_function,quantitative_result,15,10,0.666666667,0.680077872,0.666666667,1.0,interim
foundation_200,ICLR,all,abstract_function,theory,15,4,0.266666667,0.24789098,0.266666667,0.0,interim
foundation_200,ICLR,all,appendix_category,ablation,15,5,0.333333333,0.319922128,0.6,0.0,interim
foundation_200,ICLR,all,appendix_category,additional_result,15,11,0.733333333,0.75210902,1.733333333,1.0,interim
foundation_200,ICLR,all,appendix_category,dataset_detail,15,4,0.266666667,0.288124594,0.533333333,0.0,interim
foundation_200,ICLR,all,appendix_category,ethics_impact,15,3,0.2,0.216093446,0.2,0.0,interim
foundation_200,ICLR,all,appendix_category,extended_method,15,5,0.333333333,0.319922128,0.533333333,0.0,interim
foundation_200,ICLR,all,appendix_category,failure_case,15,3,0.2,0.216093446,0.266666667,0.0,interim
foundation_200,ICLR,all,appendix_category,hyperparameter,15,2,0.133333333,0.144062297,0.133333333,0.0,interim
foundation_200,ICLR,all,appendix_category,implementation_detail,15,11,0.733333333,0.75210902,1.0,1.0,interim
foundation_200,ICLR,all,appendix_category,other,15,11,0.733333333,0.75210902,1.0,1.0,interim
foundation_200,ICLR,all,appendix_category,proof,15,2,0.133333333,0.103828683,0.533333333,0.0,interim
foundation_200,ICLR,all,appendix_category,qualitative_example,15,7,0.466666667,0.463984426,0.6,0.0,interim
foundation_200,ICLR,all,appendix_category,reproducibility,15,8,0.533333333,0.536015574,0.733333333,1.0,interim
foundation_200,ICLR,all,appendix_category,robustness,15,7,0.466666667,0.463984426,0.666666667,0.0,interim
foundation_200,ICLR,all,claim_status,closed,15,12,0.8,0.783906554,2.133333333,2.0,interim
foundation_200,ICLR,all,claim_status,not_testable_here,15,2,0.133333333,0.103828683,0.2,0.0,interim
foundation_200,ICLR,all,claim_status,open,15,4,0.266666667,0.288124594,0.333333333,0.0,interim
foundation_200,ICLR,all,claim_status,partially_closed,15,15,1.0,1.0,5.2,6.0,interim
foundation_200,ICLR,all,limitation_type,assumption,15,1,0.066666667,0.072031149,0.133333333,0.0,interim
foundation_200,ICLR,all,limitation_type,baseline,15,1,0.066666667,0.072031149,0.066666667,0.0,interim
