analysis_view,conference,analysis_stratum,module,metric,n,mean,trimmed_mean_20,median,q1,q3,min,max,design_weighted_mean,status
foundation_200,ICLR,all,abstract,present,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,all,abstract,estimated_words,7,198.142857,200.0,193.0,182.0,221.5,162.0,225.0,202.632465548,interim
foundation_200,ICLR,all,abstract,main_word_share,7,0.03507,0.035498,0.037492,0.0305,0.0395,0.027,0.041,0.036412892,interim
foundation_200,ICLR,all,abstract,figures,7,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.075038285,interim
foundation_200,ICLR,all,abstract,tables,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,abstract,algorithms,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,abstract,displayed_equations,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,abstract,visual_objects,7,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.075038285,interim
foundation_200,ICLR,all,abstract,visual_objects_per_1000_words,7,0.763942,0.0,0.0,0.0,0.0,0.0,5.347594,0.40127425,interim
foundation_200,ICLR,all,abstract,equations_per_1000_words,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,abstract,equation_share_within_main,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,abstract,visual_share_within_main,6,0.027778,0.0,0.0,0.0,0.0,0.0,0.166667,0.013520971,interim
foundation_200,ICLR,all,introduction,present,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,all,introduction,estimated_words,7,685.714286,687.2,700.0,635.0,733.0,539.0,825.0,673.981623266,interim
foundation_200,ICLR,all,introduction,main_word_share,7,0.12087,0.122218,0.127092,0.1085,0.1335,0.096,0.139,0.121035499,interim
foundation_200,ICLR,all,introduction,figures,7,0.428571,0.4,0.0,0.0,1.0,0.0,1.0,0.509954058,interim
foundation_200,ICLR,all,introduction,tables,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,introduction,algorithms,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,introduction,displayed_equations,7,0.285714,0.0,0.0,0.0,0.0,0.0,2.0,0.339969372,interim
foundation_200,ICLR,all,introduction,visual_objects,7,0.428571,0.4,0.0,0.0,1.0,0.0,1.0,0.509954058,interim
foundation_200,ICLR,all,introduction,visual_objects_per_1000_words,7,0.628452,0.5465,0.0,0.0,1.36625,0.0,1.666667,0.747790993,interim
foundation_200,ICLR,all,introduction,equations_per_1000_words,7,0.47619,0.0,0.0,0.0,0.0,0.0,3.333333,0.56661562,interim
foundation_200,ICLR,all,introduction,equation_share_within_main,5,0.2,0.0,0.0,0.0,0.0,0.0,1.0,0.257540603,interim
foundation_200,ICLR,all,introduction,visual_share_within_main,6,0.045707,0.043561,0.041667,0.0,0.089015,0.0,0.1,0.050398856,interim
foundation_200,ICLR,all,related_work,present,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,interim
foundation_200,ICLR,all,related_work,estimated_words,7,530.571429,548.2,520.0,440.5,670.0,242.0,731.0,564.670750415,interim
foundation_200,ICLR,all,related_work,main_word_share,7,0.094735,0.098029,0.104,0.073,0.120073,0.04,0.133,0.102185641,interim
foundation_200,ICLR,all,related_work,figures,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,related_work,tables,7,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.169984686,interim
foundation_200,ICLR,all,related_work,algorithms,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,related_work,displayed_equations,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,related_work,visual_objects,7,0.142857,0.0,0.0,0.0,0.0,0.0,1.0,0.169984686,interim
foundation_200,ICLR,all,related_work,visual_objects_per_1000_words,7,0.195427,0.0,0.0,0.0,0.0,0.0,1.367989,0.23253719,interim
foundation_200,ICLR,all,related_work,equations_per_1000_words,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,related_work,equation_share_within_main,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,interim
foundation_200,ICLR,all,related_work,visual_share_within_main,6,0.016667,0.0,0.0,0.0,0.0,0.0,0.1,0.018377483,interim
