analysis_view,conference,analysis_stratum,metric,n,mean,trimmed_mean_20,median,q1,q3,min,max,design_weighted_mean,status
foundation_200,ICLR,all,abstract_has_limitation,100,0.35,0.25,0.0,0.0,1.0,0.0,1.0,0.353954082,complete
foundation_200,ICLR,all,abstract_has_qualitative_result,100,0.94,1.0,1.0,1.0,1.0,0.0,1.0,0.939322157,complete
foundation_200,ICLR,all,abstract_has_quantitative_result,100,0.64,0.733333,1.0,0.0,1.0,0.0,1.0,0.641581633,complete
foundation_200,ICLR,all,abstract_has_theory,100,0.5,0.5,0.5,0.0,1.0,0.0,1.0,0.5,complete
foundation_200,ICLR,all,abstract_sentences,100,8.25,8.183333,8.0,7.0,10.0,4.0,13.0,8.26412172,complete
foundation_200,ICLR,all,algorithms_appendix,100,0.63,0.25,0.0,0.0,1.0,0.0,5.0,0.637117347,complete
foundation_200,ICLR,all,algorithms_main,100,0.33,0.066667,0.0,0.0,0.0,0.0,4.0,0.333728134,complete
foundation_200,ICLR,all,appendix_main_text_calls,100,11.26,10.966667,11.0,8.0,14.0,0.0,25.0,11.240342566,complete
foundation_200,ICLR,all,appendix_page_ratio,100,1.815283,1.624798,1.6,0.977273,2.3,0.0,5.7,1.818433699,complete
foundation_200,ICLR,all,appendix_pages,100,18.1106,16.25,16.0,10.0,23.25,0.0,57.0,18.128795554,complete
foundation_200,ICLR,all,claim_closure_rate,100,0.280623,0.267317,0.267857,0.142857,0.404167,0.0,0.75,0.27743804,complete
foundation_200,ICLR,all,displayed_equations_appendix,100,17.82,8.4,5.0,0.0,24.25,0.0,199.0,17.750182216,complete
foundation_200,ICLR,all,displayed_equations_main,100,9.34,7.883333,7.0,3.75,13.0,0.0,60.0,9.349489796,complete
foundation_200,ICLR,all,figures_appendix,100,6.45,4.8,5.0,1.75,9.0,0.0,39.0,6.494624636,complete
foundation_200,ICLR,all,figures_main,100,5.13,4.866667,5.0,3.0,6.0,0.0,14.0,5.159712099,complete
