module,metric,conferences_observed,conference_equal_mean,status
ablation,algorithms,2,0.0,interim
ablation,displayed_equations,2,0.0,interim
ablation,equations_per_1000_words,2,0.0,interim
ablation,estimated_words,2,411.775136634,interim
ablation,figures,2,0.806869586,interim
ablation,main_word_share,2,0.070325477,interim
ablation,tables,2,1.032328724,interim
ablation,visual_objects,2,1.839198311,interim
ablation,visual_objects_per_1000_words,2,4.469181375,interim
abstract,algorithms,2,0.0,interim
abstract,displayed_equations,2,0.0,interim
abstract,equations_per_1000_words,2,0.0,interim
abstract,estimated_words,2,192.204696263,interim
abstract,figures,2,0.147088203,interim
abstract,main_word_share,2,0.034750592,interim
abstract,tables,2,0.0,interim
abstract,visual_objects,2,0.147088203,interim
abstract,visual_objects_per_1000_words,2,0.703487458,interim
appendix,algorithms,2,0.197076074,interim
appendix,displayed_equations,2,4.946112848,interim
appendix,equations_per_1000_words,2,1.812746249,interim
appendix,estimated_words,2,3798.432128257,interim
appendix,figures,2,3.852854717,interim
appendix,main_word_share,1,0.0,interim
appendix,tables,2,3.775714571,interim
appendix,visual_objects,2,7.825645361,interim
appendix,visual_objects_per_1000_words,2,3.563207924,interim
conclusion,algorithms,2,0.0,interim
conclusion,displayed_equations,2,0.0,interim
conclusion,equations_per_1000_words,2,0.0,interim
conclusion,estimated_words,2,133.489604293,interim
conclusion,figures,2,0.0,interim
conclusion,main_word_share,2,0.023185194,interim
conclusion,tables,2,0.0,interim
conclusion,visual_objects,2,0.0,interim
conclusion,visual_objects_per_1000_words,2,0.0,interim
experimental_design,algorithms,2,0.0,interim
experimental_design,displayed_equations,2,0.184486351,interim
experimental_design,equations_per_1000_words,2,0.264660255,interim
experimental_design,estimated_words,2,603.656759708,interim
experimental_design,figures,2,0.184486351,interim
experimental_design,main_word_share,2,0.10520021,interim
experimental_design,tables,2,0.187525865,interim
experimental_design,visual_objects,2,0.372012215,interim
experimental_design,visual_objects_per_1000_words,2,0.517910555,interim
introduction,algorithms,2,0.0,interim
introduction,displayed_equations,2,0.161811293,interim
introduction,equations_per_1000_words,2,0.172498539,interim
introduction,estimated_words,2,796.824732081,interim
introduction,figures,2,0.413784123,interim
introduction,main_word_share,2,0.140559996,interim
introduction,tables,2,0.0,interim
introduction,visual_objects,2,0.413784123,interim
introduction,visual_objects_per_1000_words,2,0.56199763,interim
limitations,algorithms,2,0.0,interim
limitations,displayed_equations,2,0.0,interim
limitations,equations_per_1000_words,2,0.0,interim
limitations,estimated_words,2,101.113211183,interim
limitations,figures,2,0.046948357,interim
limitations,main_word_share,2,0.013395499,interim
limitations,tables,2,0.0,interim
limitations,visual_objects,2,0.046948357,interim
limitations,visual_objects_per_1000_words,2,0.208333333,interim
method,algorithms,2,0.20875965,interim
method,displayed_equations,2,5.928036303,interim
method,equations_per_1000_words,2,3.975640211,interim
method,estimated_words,2,1474.509878419,interim
method,figures,2,1.607660145,interim
method,main_word_share,2,0.244485009,interim
method,tables,2,0.056231003,interim
method,visual_objects,2,1.872650798,interim
method,visual_objects_per_1000_words,2,1.355113694,interim
other,algorithms,2,0.0,interim
other,displayed_equations,2,0.0,interim
other,equations_per_1000_words,2,0.0,interim
other,estimated_words,2,974.36874795,interim
other,figures,2,0.028115502,interim
other,main_word_share,2,0.056426844,interim
other,tables,2,0.0,interim
other,visual_objects,2,0.028115502,interim
other,visual_objects_per_1000_words,2,0.022281721,interim
related_work,algorithms,2,0.0,interim
related_work,displayed_equations,2,0.056231003,interim
related_work,equations_per_1000_words,2,0.076090667,interim
related_work,estimated_words,2,541.900705651,interim
related_work,figures,2,0.0,interim
related_work,main_word_share,2,0.097028379,interim
related_work,tables,2,0.028115502,interim
related_work,visual_objects,2,0.028115502,interim
related_work,visual_objects_per_1000_words,2,0.038461699,interim
results,algorithms,2,0.0,interim
results,displayed_equations,2,0.025075988,interim
results,equations_per_1000_words,2,0.027226914,interim
results,estimated_words,2,1007.114445537,interim
results,figures,2,1.888440572,interim
results,main_word_share,2,0.17893039,interim
results,tables,2,2.52261441,interim
results,visual_objects,2,4.411054982,interim
results,visual_objects_per_1000_words,2,4.646760687,interim
theory,algorithms,2,0.038732395,interim
theory,displayed_equations,2,1.572984004,interim
theory,equations_per_1000_words,2,5.415626195,interim
theory,estimated_words,2,443.813986761,interim
theory,figures,2,0.454118327,interim
theory,main_word_share,2,0.073362458,interim
theory,tables,2,0.046948357,interim
theory,visual_objects,2,0.539799078,interim
theory,visual_objects_per_1000_words,2,1.251102873,interim
