module,papers_present,presence_percent_ceil,conference_equal_share_percent_ceil,iclr_share_percent_ceil,draft_words_at_5220_ceil,observed_mean_words_ceil,observed_figures_mean_ceil,observed_tables_mean_ceil,observed_algorithms_mean_ceil,observed_equations_mean_ceil,execution_figures,execution_tables,execution_algorithms,execution_equations
abstract,250,100,4,4,209,189,1,0,0,0,0,0,0,0
introduction,250,100,15,15,783,832,1,1,1,1,1,0,0,0
related_work,248,100,9,9,470,550,1,1,0,1,0,0,0,0
method,250,100,24,24,1253,1378,2,1,1,6,1,0,1,6
theory,170,68,11,10,575,738,1,1,1,6,0,0,0,6
experimental_design,246,99,10,10,522,587,1,1,1,1,0,1,0,0
results,247,99,18,18,940,987,3,3,0,1,3,2,0,1
ablation,211,84,6,6,314,427,2,1,0,1,1,1,0,0
conclusion,242,97,3,3,157,165,0,0,0,0,0,0,0,0
limitations,189,76,2,2,105,160,1,1,0,1,0,0,0,0
other,244,98,3,3,157,1328,1,1,0,1,0,0,0,0
appendix,245,99,,,,6153,7,6,1,20,8,7,1,20
