conference,analysis_stratum,metric,n,mean,median,q1,q3,min,max
ICLR,all,appendix_page_ratio,10,1.694353,1.786364,1.102778,2.475,0.0,2.818182
ICLR,all,appendix_word_ratio,10,1.261544,0.962619,0.735765,1.874631,0.0,2.894806
ICLR,all,abstract_sentences,10,8.0,8.5,6.25,9.0,6.0,10.0
ICLR,all,visuals_total,10,23.6,18.0,11.0,37.0,0.0,56.0
ICLR,all,theory_items_total,10,13.6,12.5,4.25,22.0,0.0,35.0
ICLR,all,limitations_recorded,10,9.6,10.0,8.25,10.75,6.0,14.0
ICLR,oral,appendix_page_ratio,8,1.73385,1.85,1.108333,2.535377,0.0,2.818182
ICLR,oral,appendix_word_ratio,8,1.22907,0.962619,0.777647,1.624472,0.0,2.894806
ICLR,oral,abstract_sentences,8,8.25,9.0,6.75,9.25,6.0,10.0
ICLR,oral,visuals_total,8,27.0,25.0,11.0,38.75,9.0,56.0
ICLR,oral,theory_items_total,8,11.625,11.0,3.0,20.0,0.0,25.0
ICLR,oral,limitations_recorded,8,9.375,10.0,8.75,10.25,6.0,11.0
ICLR,outstanding,appendix_page_ratio,2,1.536364,1.536364,1.168182,1.904545,0.8,2.272727
ICLR,outstanding,appendix_word_ratio,2,1.39144,1.39144,1.024458,1.758421,0.657477,2.125403
ICLR,outstanding,abstract_sentences,2,7.0,7.0,6.5,7.5,6.0,8.0
ICLR,outstanding,visuals_total,2,10.0,10.0,5.0,15.0,0.0,20.0
ICLR,outstanding,theory_items_total,2,21.5,21.5,14.75,28.25,8.0,35.0
ICLR,outstanding,limitations_recorded,2,10.5,10.5,8.75,12.25,7.0,14.0
