conference,analysis_stratum,dimension,value,papers,papers_present,paper_prevalence,count_n,count_mean,count_trimmed_mean_20,count_median,count_q1,count_q3,count_min,count_max
ICLR,all,visual_kind,algorithm,12,3,0.25,12,0.333333,0.125,0.0,0.0,0.25,0.0,2.0
ICLR,all,visual_kind,figure,12,11,0.916667,12,13.0,12.0,9.5,4.0,21.0,0.0,35.0
ICLR,all,visual_kind,table,12,11,0.916667,12,10.083333,10.25,10.5,6.25,15.5,0.0,20.0
ICLR,all,visual_module,ablation,12,8,0.666667,12,1.083333,1.0,1.0,0.0,2.0,0.0,3.0
ICLR,all,visual_module,abstract,12,1,0.083333,12,0.083333,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,all,visual_module,appendix,12,10,0.833333,12,15.75,14.375,11.5,6.5,26.5,0.0,44.0
ICLR,all,visual_module,experimental_design,12,3,0.25,12,0.583333,0.125,0.0,0.0,0.25,0.0,5.0
ICLR,all,visual_module,introduction,12,6,0.5,12,0.5,0.5,0.5,0.0,1.0,0.0,1.0
ICLR,all,visual_module,method,12,8,0.666667,12,1.166667,1.0,1.0,0.0,2.0,0.0,3.0
ICLR,all,visual_module,related_work,12,1,0.083333,12,0.083333,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,all,visual_module,results,12,11,0.916667,12,4.166667,4.0,3.0,2.0,6.25,0.0,8.0
ICLR,all,theory_kind,corollary,12,2,0.166667,12,0.333333,0.0,0.0,0.0,0.0,0.0,3.0
ICLR,all,theory_kind,displayed_equation,12,4,0.333333,12,1.333333,0.5,0.0,0.0,1.5,0.0,8.0
ICLR,all,theory_kind,lemma,12,1,0.083333,12,0.166667,0.0,0.0,0.0,0.0,0.0,2.0
ICLR,all,theory_kind,numbered_equation,12,8,0.666667,12,6.583333,5.25,3.0,0.0,12.75,0.0,20.0
ICLR,all,theory_kind,proof,12,5,0.416667,12,1.666667,0.75,0.0,0.0,2.25,0.0,7.0
ICLR,all,theory_kind,proposition,12,4,0.333333,12,1.166667,0.5,0.0,0.0,1.5,0.0,7.0
ICLR,all,theory_kind,theorem,12,3,0.25,12,0.5,0.125,0.0,0.0,0.25,0.0,4.0
ICLR,all,theory_module,appendix,12,4,0.333333,12,3.833333,2.375,0.0,0.0,7.75,0.0,14.0
ICLR,all,theory_module,experimental_design,12,2,0.166667,12,0.25,0.0,0.0,0.0,0.0,0.0,2.0
ICLR,all,theory_module,introduction,12,1,0.083333,12,0.083333,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,all,theory_module,method,12,9,0.75,12,3.0,2.875,3.5,0.75,4.5,0.0,7.0
ICLR,all,theory_module,related_work,12,1,0.083333,12,0.083333,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,all,theory_module,results,12,1,0.083333,12,0.416667,0.0,0.0,0.0,0.0,0.0,5.0
ICLR,all,theory_module,theory,12,7,0.583333,12,4.083333,2.625,2.5,0.0,6.0,0.0,16.0
ICLR,all,theory_role,core_chain,12,9,0.75,12,5.5,3.5,3.0,1.5,5.75,0.0,25.0
ICLR,all,theory_role,diagnostic,12,5,0.416667,12,0.916667,0.5,0.0,0.0,1.25,0.0,4.0
ICLR,all,theory_role,explanation,12,9,0.75,12,3.833333,3.25,2.0,0.75,6.25,0.0,10.0
ICLR,all,theory_role,guarantee,12,6,0.5,12,1.5,0.75,0.5,0.0,1.5,0.0,8.0
ICLR,all,appendix_category,ablation,12,5,0.416667,12,1.0,0.5,0.0,0.0,1.25,0.0,4.0
ICLR,all,appendix_category,additional_result,12,10,0.833333,12,2.166667,1.75,1.0,1.0,3.25,0.0,6.0
ICLR,all,appendix_category,broader_impact,12,1,0.083333,12,0.083333,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,all,appendix_category,dataset_detail,12,5,0.416667,12,0.666667,0.375,0.0,0.0,1.0,0.0,4.0
ICLR,all,appendix_category,ethics_impact,12,1,0.083333,12,0.083333,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,all,appendix_category,extended_method,12,6,0.5,12,1.0,0.75,0.5,0.0,2.0,0.0,3.0
ICLR,all,appendix_category,failure_case,12,4,0.333333,12,0.416667,0.25,0.0,0.0,1.0,0.0,2.0
ICLR,all,appendix_category,hyperparameter,12,3,0.25,12,0.5,0.125,0.0,0.0,0.25,0.0,3.0
ICLR,all,appendix_category,implementation_detail,12,6,0.5,12,0.75,0.625,0.5,0.0,1.25,0.0,2.0
ICLR,all,appendix_category,other,12,7,0.583333,12,1.0,0.75,1.0,0.0,1.25,0.0,3.0
ICLR,all,appendix_category,proof,12,5,0.416667,12,1.416667,0.5,0.0,0.0,1.25,0.0,7.0
ICLR,all,appendix_category,qualitative_example,12,7,0.583333,12,0.666667,0.625,1.0,0.0,1.0,0.0,2.0
ICLR,all,appendix_category,reproducibility,12,5,0.416667,12,0.583333,0.375,0.0,0.0,1.0,0.0,2.0
ICLR,all,appendix_category,robustness,12,9,0.75,12,1.416667,1.125,1.0,0.75,2.0,0.0,4.0
ICLR,all,claim_status,closed,12,11,0.916667,12,2.25,2.125,2.0,1.0,3.0,0.0,6.0
ICLR,all,claim_status,not_testable_here,12,5,0.416667,12,0.5,0.375,0.0,0.0,1.0,0.0,2.0
ICLR,all,claim_status,open,12,4,0.333333,12,0.333333,0.25,0.0,0.0,1.0,0.0,1.0
ICLR,all,claim_status,partially_closed,12,12,1.0,12,4.916667,5.0,5.0,3.0,7.0,2.0,7.0
ICLR,oral,visual_kind,algorithm,10,3,0.3,10,0.4,0.166667,0.0,0.0,0.75,0.0,2.0
ICLR,oral,visual_kind,figure,10,10,1.0,10,14.6,13.666667,14.0,5.0,21.0,3.0,35.0
ICLR,oral,visual_kind,table,10,10,1.0,10,11.1,11.833333,11.5,8.0,16.5,1.0,20.0
ICLR,oral,visual_module,ablation,10,8,0.8,10,1.3,1.333333,1.0,1.0,2.0,0.0,3.0
ICLR,oral,visual_module,appendix,10,9,0.9,10,17.5,16.0,13.5,7.25,27.5,0.0,44.0
ICLR,oral,visual_module,experimental_design,10,2,0.2,10,0.6,0.0,0.0,0.0,0.0,0.0,5.0
ICLR,oral,visual_module,introduction,10,6,0.6,10,0.6,0.666667,1.0,0.0,1.0,0.0,1.0
ICLR,oral,visual_module,method,10,7,0.7,10,1.2,1.0,1.0,0.25,1.75,0.0,3.0
ICLR,oral,visual_module,related_work,10,1,0.1,10,0.1,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,oral,visual_module,results,10,10,1.0,10,4.8,4.666667,4.5,3.0,6.75,2.0,8.0
ICLR,oral,theory_kind,corollary,10,1,0.1,10,0.1,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,oral,theory_kind,displayed_equation,10,3,0.3,10,0.8,0.166667,0.0,0.0,0.75,0.0,4.0
ICLR,oral,theory_kind,numbered_equation,10,7,0.7,10,6.7,5.0,3.0,0.25,13.25,0.0,20.0
ICLR,oral,theory_kind,proof,10,4,0.4,10,1.3,0.5,0.0,0.0,1.75,0.0,7.0
ICLR,oral,theory_kind,proposition,10,3,0.3,10,0.7,0.166667,0.0,0.0,0.75,0.0,3.0
ICLR,oral,theory_kind,theorem,10,2,0.2,10,0.2,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,oral,theory_module,appendix,10,3,0.3,10,3.2,1.0,0.0,0.0,4.5,0.0,13.0
ICLR,oral,theory_module,experimental_design,10,1,0.1,10,0.2,0.0,0.0,0.0,0.0,0.0,2.0
ICLR,oral,theory_module,introduction,10,1,0.1,10,0.1,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,oral,theory_module,method,10,7,0.7,10,3.1,3.0,3.5,0.25,5.5,0.0,7.0
ICLR,oral,theory_module,related_work,10,1,0.1,10,0.1,0.0,0.0,0.0,0.0,0.0,1.0
ICLR,oral,theory_module,theory,10,5,0.5,10,3.1,1.5,1.0,0.0,3.75,0.0,16.0
ICLR,oral,theory_role,core_chain,10,7,0.7,10,3.9,3.0,3.0,0.5,5.0,0.0,13.0
ICLR,oral,theory_role,diagnostic,10,3,0.3,10,0.8,0.166667,0.0,0.0,0.75,0.0,4.0
ICLR,oral,theory_role,explanation,10,7,0.7,10,3.7,2.833333,2.0,0.25,8.0,0.0,10.0
ICLR,oral,theory_role,guarantee,10,5,0.5,10,1.4,0.5,0.5,0.0,1.0,0.0,8.0
