analysis_view,conference,analysis_stratum,n,phrase,count,document_count,document_share,per_10000_all_words
combined_400,ICLR,all,2,published conference,178,18,1.0,19.634446
combined_400,ICLR,all,2,conference paper,178,18,1.0,19.634446
combined_400,ICLR,all,2,paper iclr,178,18,1.0,19.634446
combined_400,ICLR,all,2,ean ammer,49,1,0.055556,5.404988
combined_400,ICLR,all,2,pure vision,45,1,0.055556,4.963765
combined_400,ICLR,all,2,vision models,44,1,0.055556,4.853459
combined_400,ICLR,all,2,ean remise,43,1,0.055556,4.743153
combined_400,ICLR,all,2,video generation,38,3,0.166667,4.191623
combined_400,ICLR,all,2,shading sequence,38,1,0.055556,4.191623
combined_400,ICLR,all,2,qwen- b-coder-instruct,31,1,0.055556,3.419482
combined_400,ICLR,all,2,normal estimation,31,1,0.055556,3.419482
combined_400,ICLR,all,2,metric depth,30,2,0.111111,3.309176
combined_400,ICLR,all,2,camera intrinsics,29,2,0.111111,3.19887
combined_400,ICLR,all,2,language models,28,12,0.666667,3.088565
combined_400,ICLR,all,2,premise selection,28,1,0.055556,3.088565
combined_400,ICLR,all,2,training data,27,7,0.388889,2.978259
combined_400,ICLR,all,2,triggering kernels,26,1,0.055556,2.867953
combined_400,ICLR,all,2,teed deng,26,1,0.055556,2.867953
combined_400,ICLR,all,2,see appendix,25,7,0.388889,2.757647
combined_400,ICLR,all,2,shown table,25,9,0.5,2.757647
combined_400,ICLR,all,2,speech tokens,25,1,0.055556,2.757647
combined_400,ICLR,all,2,cost volumes,25,1,0.055556,2.757647
combined_400,ICLR,all,2,image registration,24,1,0.055556,2.647341
combined_400,ICLR,all,2,generation models,23,3,0.166667,2.537035
combined_400,ICLR,all,2,adp data,23,1,0.055556,2.537035
combined_400,ICLR,all,2,normal maps,23,1,0.055556,2.537035
combined_400,ICLR,all,2,iclr table,22,9,0.5,2.426729
combined_400,ICLR,all,2,p-less sampling,22,1,0.055556,2.426729
combined_400,ICLR,all,2,cost volume,22,1,0.055556,2.426729
combined_400,ICLR,all,2,arxiv preprint,20,5,0.277778,2.206118
combined_400,ICLR,all,2,preprint arxiv,20,5,0.277778,2.206118
combined_400,ICLR,all,2,speech text,20,1,0.055556,2.206118
combined_400,ICLR,all,2,normal map,20,1,0.055556,2.206118
combined_400,ICLR,all,2,large language,19,10,0.555556,2.095812
combined_400,ICLR,all,2,iclr figure,19,9,0.5,2.095812
combined_400,ICLR,all,2,see section,19,6,0.333333,2.095812
combined_400,ICLR,all,2,p-less p-lessnorm,19,1,0.055556,2.095812
combined_400,ICLR,all,2,agent training,19,2,0.111111,2.095812
combined_400,ICLR,all,2,depth estimation,19,3,0.166667,2.095812
combined_400,ICLR,all,2,focal length,19,2,0.111111,2.095812
combined_400,ICLR,all,2,monocular normal,19,1,0.055556,2.095812
combined_400,ICLR,all,2,shown fig,18,5,0.277778,1.985506
combined_400,ICLR,all,2,divergent representations,18,1,0.055556,1.985506
combined_400,ICLR,all,2,spatial reasoning,18,1,0.055556,1.985506
combined_400,ICLR,all,2,existing methods,17,7,0.388889,1.8752
combined_400,ICLR,all,2,hawkes processes,17,1,0.055556,1.8752
combined_400,ICLR,all,2,least squares,17,2,0.111111,1.8752
combined_400,ICLR,all,2,llm-graph interaction,17,1,0.055556,1.8752
combined_400,ICLR,all,2,bonnet sangnier,16,1,0.055556,1.764894
combined_400,ICLR,all,2,value differences,16,1,0.055556,1.764894
combined_400,ICLR,all,2,global plan,16,1,0.055556,1.764894
combined_400,ICLR,all,2,across diverse,15,7,0.388889,1.654588
combined_400,ICLR,all,2,token distribution,15,1,0.055556,1.654588
combined_400,ICLR,all,2,causal interventions,15,1,0.055556,1.654588
combined_400,ICLR,all,2,global plans,15,1,0.055556,1.654588
combined_400,ICLR,all,2,input image,15,3,0.166667,1.654588
combined_400,ICLR,all,2,optical flow,15,1,0.055556,1.654588
combined_400,ICLR,all,2,update module,15,1,0.055556,1.654588
combined_400,ICLR,all,2,sharded instructions,15,1,0.055556,1.654588
combined_400,ICLR,all,2,physics categories,14,1,0.055556,1.544282
combined_400,ICLR,all,2,across multiple,14,9,0.5,1.544282
combined_400,ICLR,all,2,performance across,14,7,0.388889,1.544282
combined_400,ICLR,all,2,generative models,14,3,0.166667,1.544282
combined_400,ICLR,all,2,probability distribution,14,2,0.111111,1.544282
combined_400,ICLR,all,2,prior work,14,8,0.444444,1.544282
combined_400,ICLR,all,2,hawkes process,14,1,0.055556,1.544282
combined_400,ICLR,all,2,cpu cpu,14,1,0.055556,1.544282
combined_400,ICLR,all,2,deep learning,14,2,0.111111,1.544282
combined_400,ICLR,all,2,iterative methods,14,2,0.111111,1.544282
combined_400,ICLR,all,2,text tokens,14,2,0.111111,1.544282
combined_400,ICLR,all,2,ltl formula,14,1,0.055556,1.544282
combined_400,ICLR,all,2,real-world physics,13,1,0.055556,1.433976
combined_400,ICLR,all,2,shown figure,13,5,0.277778,1.433976
combined_400,ICLR,all,2,across different,13,9,0.5,1.433976
combined_400,ICLR,all,2,sampling methods,13,1,0.055556,1.433976
combined_400,ICLR,all,2,logical reasoning,13,1,0.055556,1.433976
combined_400,ICLR,all,2,provided appendix,13,5,0.277778,1.433976
combined_400,ICLR,all,2,video games,13,1,0.055556,1.433976
combined_400,ICLR,all,2,optimization problem,13,2,0.111111,1.433976
combined_400,ICLR,all,2,hop prompt,13,1,0.055556,1.433976
combined_400,ICLR,all,2,test questions,13,1,0.055556,1.433976
combined_400,ICLR,all,2,adaem bench,13,1,0.055556,1.433976
combined_400,ICLR,all,2,qwen- b-instruct,13,1,0.055556,1.433976
combined_400,ICLR,all,2,batch size,13,4,0.222222,1.433976
combined_400,ICLR,all,2,data extraction,13,1,0.055556,1.433976
combined_400,ICLR,all,2,proof rate,13,1,0.055556,1.433976
combined_400,ICLR,all,2,lost conversation,13,1,0.055556,1.433976
combined_400,ICLR,all,2,exponentially succinct,13,1,0.055556,1.433976
combined_400,ICLR,all,2,finite automata,13,1,0.055556,1.433976
combined_400,ICLR,all,2,elated ork,12,12,0.666667,1.323671
combined_400,ICLR,all,2,gemini- pro,12,4,0.222222,1.323671
combined_400,ICLR,all,2,models llms,12,7,0.388889,1.323671
combined_400,ICLR,all,2,math logical,12,1,0.055556,1.323671
combined_400,ICLR,all,2,creative writing,12,2,0.111111,1.323671
combined_400,ICLR,all,2,reinforcement learning,12,5,0.277778,1.323671
combined_400,ICLR,all,2,representer theorem,12,1,0.055556,1.323671
combined_400,ICLR,all,2,dual coefficients,12,1,0.055556,1.323671
combined_400,ICLR,all,2,linear hawkes,12,1,0.055556,1.323671
combined_400,ICLR,all,2,grid sampler,12,1,0.055556,1.323671
combined_400,ICLR,all,2,tool use,12,3,0.166667,1.323671
combined_400,ICLR,all,2,informativeness challenge,12,1,0.055556,1.323671
combined_400,ICLR,all,2,previous work,12,5,0.277778,1.323671
