paper_id,conference,analysis_stratum,selection_flags,main_pages,reference_pages,appendix_pages,appendix_page_ratio,main_estimated_words,appendix_estimated_words,appendix_word_ratio,abstract_sentences,abstract_has_quantitative_result,abstract_has_qualitative_result,abstract_has_theory,abstract_has_limitation,visuals_total,theory_items_total,claims_closed,claims_total,limitations_recorded
iclr-2026-8da8f79c49d5,ICLR,oral,oral,10,3,24,2.4,5727,6100,1.06513,10,False,True,False,False,38,0,1,6,9
iclr-2026-ff40de6c7ac1,ICLR,oral,oral,11,3,31,2.818182,5333,15438,2.894806,9,False,True,True,False,34,23,2,10,11
iclr-2026-707ee355091a,ICLR,oral,oral,10,3,11,1.1,5948,4750,0.798588,7,False,True,True,False,11,19,3,10,10
iclr-2026-3dfd982128a2,ICLR,oral,oral,10,10,0,0.0,5904,0,0.0,6,True,True,False,False,9,5,2,6,6
iclr-2026-82ba4792ed68,ICLR,oral,oral,9,4,10,1.111111,4768,4101,0.860109,10,False,True,False,False,16,0,2,10,10
iclr-2026-b001d2f886cf,ICLR,oral,oral,10.6,10.4,28,2.641509,6895,13788,1.99971,9,False,True,True,False,41,17,1,7,11
iclr-2026-86ded246ec76,ICLR,oral,oral,10,4,13,1.3,6375,4557,0.714824,6,False,True,True,False,11,25,3,7,8
iclr-2026-fac989b896c5,ICLR,oral,oral,10.18,4.56,6.26,0.614931,5446,1688,0.309952,7,True,True,False,False,15,0,1,9,8
iclr-2026-935af26c0a67,ICLR,oral,oral,10,5,25,2.5,6586,9875,1.499393,9,False,True,False,False,56,4,3,8,10
iclr-2026-a6ddc629568b,ICLR,outstanding,outstanding|oral,11,6,25,2.272727,6507,13830,2.125403,8,True,True,False,False,20,8,3,8,14
iclr-2026-88c6c50ec3eb,ICLR,outstanding,outstanding|oral,10,3,8,0.8,5985,3935,0.657477,6,False,True,True,False,0,35,6,8,7
