conference,analysis_stratum,field,papers,papers_reported,paper_prevalence
ICLR,all,aggregation_units,5,1,0.2
ICLR,all,bayesian,5,0,0.0
ICLR,all,bootstrap,5,0,0.0
ICLR,all,central_tendency,5,1,0.2
ICLR,all,correlation,5,0,0.0
ICLR,all,dispersion,5,0,0.0
ICLR,all,hypothesis_tests,5,0,0.0
ICLR,all,intervals,5,0,0.0
ICLR,all,multiple_comparisons,5,0,0.0
ICLR,all,regression,5,0,0.0
ICLR,all,seed_hierarchy,5,1,0.2
ICLR,all,significance_language,5,1,0.2
ICLR,all,substantive_vs_statistical,5,1,0.2
ICLR,all,uncertainty_reported,5,1,0.2
ICLR,oral,aggregation_units,3,1,0.333333
ICLR,oral,bayesian,3,0,0.0
ICLR,oral,bootstrap,3,0,0.0
ICLR,oral,central_tendency,3,1,0.333333
ICLR,oral,correlation,3,0,0.0
ICLR,oral,dispersion,3,0,0.0
ICLR,oral,hypothesis_tests,3,0,0.0
ICLR,oral,intervals,3,0,0.0
ICLR,oral,multiple_comparisons,3,0,0.0
ICLR,oral,regression,3,0,0.0
ICLR,oral,seed_hierarchy,3,1,0.333333
ICLR,oral,significance_language,3,1,0.333333
ICLR,oral,substantive_vs_statistical,3,1,0.333333
ICLR,oral,uncertainty_reported,3,1,0.333333
