paper_id,conference,analysis_stratum,kind,module,role,label,page
iclr-2026-935af26c0a67,ICLR,oral,numbered_equation,method,core_chain,Eq. (1),4
iclr-2026-935af26c0a67,ICLR,oral,numbered_equation,method,explanation,Eq. (2),4
iclr-2026-935af26c0a67,ICLR,oral,numbered_equation,method,core_chain,Eq. (3),4
iclr-2026-935af26c0a67,ICLR,oral,numbered_equation,method,core_chain,Eq. (4),4
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,experimental_design,core_chain,"P, A90, U10-90 definitions",6
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,theory,explanation,Atomic content units I(q),17
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,theory,core_chain,Shard equivalence q' and I(q)=I(q'),17
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,method,diagnostic,CONCAT and SHUFFLE-CONCAT acceptance thresholds,19
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,theory,explanation,FULL baseline outcome construction,20
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,theory,explanation,Situation 1 aptitude-loss construction,21
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,theory,explanation,Situation 2 reliability-loss construction,21
iclr-2026-a6ddc629568b,ICLR,outstanding,displayed_equation,theory,explanation,Situation 3 combined-loss construction,21
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,method,explanation,Eq. (1),3
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,method,explanation,Eqs. (2)–(4),4
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,method,explanation,Eqs. (5)–(6),4
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,theory,core_chain,Eqs. (7)–(8),6
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,theory,core_chain,Eq. (9),7
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,appendix,core_chain,Eqs. (10)–(11),14
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,appendix,core_chain,Eqs. (12a)–(14e),15
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,appendix,core_chain,Eqs. (15a)–(18),16
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,appendix,core_chain,Eqs. (19)–(21),17
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,appendix,core_chain,Eqs. (22)–(23),18
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,appendix,core_chain,Eqs. (24)–(28),19
iclr-2026-88c6c50ec3eb,ICLR,outstanding,numbered_equation,appendix,core_chain,Eqs. (29)–(33),20
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proposition,method,explanation,Proposition 1,5
iclr-2026-88c6c50ec3eb,ICLR,outstanding,theorem,theory,core_chain,Theorem 4,6
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proposition,theory,core_chain,Proposition 5,6
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proposition,theory,core_chain,Proposition 7,7
iclr-2026-88c6c50ec3eb,ICLR,outstanding,lemma,theory,core_chain,Lemma 8,7
iclr-2026-88c6c50ec3eb,ICLR,outstanding,lemma,theory,core_chain,Lemma 9,7
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proposition,theory,core_chain,Proposition 10,7
iclr-2026-88c6c50ec3eb,ICLR,outstanding,corollary,theory,diagnostic,Corollary 11,8
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proposition,theory,core_chain,Proposition 12,8
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proposition,theory,core_chain,Proposition 13,8
iclr-2026-88c6c50ec3eb,ICLR,outstanding,corollary,theory,diagnostic,Corollary 14,8
iclr-2026-88c6c50ec3eb,ICLR,outstanding,theorem,results,core_chain,Theorem 15,9
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proposition,results,guarantee,Proposition 16,9
iclr-2026-88c6c50ec3eb,ICLR,outstanding,theorem,results,core_chain,Theorem 17,9
iclr-2026-88c6c50ec3eb,ICLR,outstanding,corollary,results,core_chain,Corollary 18,10
iclr-2026-88c6c50ec3eb,ICLR,outstanding,theorem,results,guarantee,Theorem 19,10
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proof,appendix,core_chain,Proof of Theorem 4,14
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proof,appendix,core_chain,Proof of Lemma 8,14
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proof,appendix,core_chain,Proof of Lemma 9,17
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proof,appendix,core_chain,Proof of Proposition 12,18
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proof,appendix,core_chain,Proof of Proposition 13,19
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proof,appendix,guarantee,Proof of Proposition 16,20
iclr-2026-88c6c50ec3eb,ICLR,outstanding,proof,appendix,guarantee,Proof of Theorem 19,21
