scope,dimension,value,objects,object_count,object_share,papers,papers_present,paper_prevalence,paper_normalized_object_share,conference_equal_paper_normalized_share
all,width,double_column,5357,2388,0.445772,250,214,0.856,0.4663,0.407023
all,width,inset,5357,273,0.050961,250,99,0.396,0.044692,0.04211
all,width,page_width,5357,1051,0.196192,250,96,0.384,0.212764,0.265723
all,width,single_column,5357,1565,0.292141,250,219,0.876,0.247173,0.251605
all,width,unknown,5357,80,0.014934,250,25,0.1,0.017071,0.020206
all,types_auto,architecture,5357,109,0.020347,250,71,0.284,0.024072,0.023516
all,types_auto,bar,5357,56,0.010454,250,38,0.152,0.011265,0.011754
all,types_auto,box,5357,31,0.005787,250,22,0.088,0.00609,0.006361
all,types_auto,conceptual_diagram,5357,147,0.027441,250,102,0.408,0.036172,0.036548
all,types_auto,heatmap,5357,47,0.008774,250,29,0.116,0.008804,0.008305
all,types_auto,image_montage,5357,345,0.064402,250,78,0.312,0.062828,0.060447
all,types_auto,line,5357,385,0.071869,250,152,0.608,0.080464,0.082452
all,types_auto,map,5357,41,0.007654,250,27,0.108,0.010308,0.009709
all,types_auto,matrix,5357,87,0.01624,250,28,0.112,0.011693,0.01261
all,types_auto,network,5357,49,0.009147,250,32,0.128,0.012627,0.012703
all,types_auto,other,5357,1351,0.252193,250,218,0.872,0.233903,0.237285
all,types_auto,pareto,5357,49,0.009147,250,14,0.056,0.005573,0.006321
all,types_auto,pipeline,5357,233,0.043494,250,143,0.572,0.046674,0.046178
all,types_auto,qualitative_grid,5357,763,0.14243,250,186,0.744,0.143146,0.142159
all,types_auto,scatter,5357,58,0.010827,250,40,0.16,0.011604,0.011438
all,types_auto,screenshot,5357,19,0.003547,250,10,0.04,0.002793,0.002628
all,types_auto,table,5357,2309,0.431025,250,237,0.948,0.427204,0.420284
all,types_auto,tree,5357,27,0.00504,250,18,0.072,0.005275,0.005533
all,caption_headline_bold,0,5357,4478,0.835916,250,244,0.976,0.82998,0.83546
all,caption_headline_bold,1,5357,799,0.149151,250,97,0.388,0.140949,0.131
all,caption_has_setup,0,5357,2806,0.523801,250,246,0.984,0.50181,0.501913
all,caption_has_setup,1,5357,2471,0.461266,250,245,0.98,0.469119,0.464548
all,caption_has_encoding_key,0,5357,4444,0.829569,250,246,0.984,0.795294,0.79074
all,caption_has_encoding_key,1,5357,833,0.155497,250,212,0.848,0.175635,0.175721
all,caption_has_main_finding,0,5357,3527,0.658391,250,247,0.988,0.628394,0.621783
all,caption_has_main_finding,1,5357,1750,0.326675,250,242,0.968,0.342535,0.344677
all,caption_has_uncertainty_definition,0,5357,4930,0.920291,250,247,0.988,0.904756,0.897996
all,caption_has_uncertainty_definition,1,5357,347,0.064775,250,122,0.488,0.066173,0.068464
all,caption_has_appendix_pointer,0,5357,5183,0.967519,250,247,0.988,0.952879,0.947464
all,caption_has_appendix_pointer,1,5357,94,0.017547,250,68,0.272,0.018051,0.018996
all,color_mode_auto,color,5357,3252,0.607056,250,245,0.98,0.602889,0.6071
all,color_mode_auto,grayscale,5357,2025,0.37801,250,233,0.932,0.368041,0.35936
figure,width,double_column,3048,1421,0.466207,250,189,0.756,0.503559,0.433727
figure,width,page_width,3048,727,0.238517,250,95,0.38,0.251401,0.313814
figure,width,single_column,3048,831,0.272638,250,177,0.708,0.207487,0.210545
figure,width,unknown,3048,69,0.022638,250,19,0.076,0.021554,0.025248
figure,types_auto,architecture,3048,109,0.035761,250,71,0.284,0.044863,0.042793
figure,types_auto,bar,3048,56,0.018373,250,38,0.152,0.022297,0.023658
figure,types_auto,box,3048,31,0.010171,250,22,0.088,0.011135,0.011335
figure,types_auto,conceptual_diagram,3048,147,0.048228,250,102,0.408,0.063973,0.063796
figure,types_auto,heatmap,3048,47,0.01542,250,29,0.116,0.016522,0.015621
figure,types_auto,image_montage,3048,345,0.113189,250,78,0.312,0.111239,0.107072
figure,types_auto,line,3048,385,0.126312,250,152,0.608,0.141399,0.14393
