scope,metric,objects_measured,papers_measured,object_mean,object_median,object_q1,object_q3,paper_equal_mean,conference_equal_paper_mean
all,caption_words,5277,247,39.263218,28.0,13.0,55.0,42.139764,42.427552
all,caption_sentences,5277,247,2.851431,2.0,1.0,4.0,2.945858,3.047579
all,caption_font_size_median,5277,247,9.565798,9.963,8.966,9.963,9.574402,9.509133
all,caption_self_contained_score,5277,247,1.023498,1.0,0.0,2.0,1.081036,1.084591
all,internal_font_size_min,4990,247,6.114136,6.784,3.5885,8.7635,6.167759,6.159638
all,internal_font_size_median,4990,247,8.33374,8.966,6.974,9.963,8.406302,8.4197
all,internal_font_size_max,4990,247,9.546773,9.963,8.966,9.963,9.64826,9.645933
all,color_count_auto,5277,247,4.677089,8.0,0.0,8.0,4.702584,4.782408
all,chromatic_pixel_share,5277,247,0.236957,0.1194,0.0,0.4176,0.237439,0.236354
all,panels_auto,5357,247,1.218966,1.0,1.0,1.0,1.24113,1.242259
all,complexity_auto,5357,247,1.453052,1.0,1.0,2.0,1.487117,1.490854
all,table_rows_auto,679,153,3.91458,2.0,1.0,4.0,3.966787,4.038026
all,table_columns_auto,679,153,5.515464,4.0,2.0,7.0,5.454021,5.738437
all,table_header_levels_auto,679,153,1.334315,1.0,1.0,2.0,1.342525,1.337307
figure,caption_words,2979,246,42.113461,32.0,15.0,60.0,46.03934,46.660222
figure,caption_sentences,2979,246,3.040953,3.0,1.0,4.0,3.116792,3.220567
figure,caption_font_size_median,2979,246,9.591395,9.963,8.966,9.963,9.621104,9.550876
figure,caption_self_contained_score,2979,246,1.084592,1.0,0.0,2.0,1.16239,1.172253
figure,internal_font_size_min,2778,246,4.970841,4.668,2.18025,7.65625,5.26126,5.254021
figure,internal_font_size_median,2778,246,7.859295,8.757,6.087,9.963,7.99728,8.015299
figure,internal_font_size_max,2778,246,9.681862,9.963,8.966,9.963,9.82361,9.809752
figure,color_count_auto,2979,246,7.019134,8.0,8.0,8.0,7.00129,7.05143
figure,chromatic_pixel_share,2979,246,0.34232,0.3114,0.13375,0.5195,0.347901,0.345947
figure,panels_auto,3048,246,1.343504,1.0,1.0,1.0,1.379436,1.382156
figure,complexity_auto,3048,246,1.682087,2.0,1.0,2.0,1.738524,1.739814
table,caption_words,2298,236,35.56832,23.0,11.0,46.0,37.788592,37.653457
table,caption_sentences,2298,236,2.605744,2.0,1.0,3.0,2.776965,2.876069
table,caption_font_size_median,2298,236,9.532616,9.963,8.966,9.963,9.524623,9.46759
table,caption_self_contained_score,2298,236,0.944299,1.0,0.0,2.0,0.987069,0.989129
table,internal_font_size_min,2212,236,7.549973,7.6765,6.352,8.966,7.444501,7.442907
table,internal_font_size_median,2212,236,8.929585,9.963,8.048,9.963,9.031026,9.046134
table,internal_font_size_max,2212,236,9.377118,9.963,8.966,9.963,9.502191,9.515287
table,color_count_auto,2298,236,1.640992,0.0,0.0,0.0,1.795815,1.851198
table,chromatic_pixel_share,2298,236,0.100371,0.0,0.0,0.023575,0.104387,0.101721
table,panels_auto,2309,237,1.054569,1.0,1.0,1.0,1.061473,1.060053
table,complexity_auto,2309,237,1.150715,1.0,1.0,1.0,1.17741,1.178609
table,table_rows_auto,679,153,3.91458,2.0,1.0,4.0,3.966787,4.038026
table,table_columns_auto,679,153,5.515464,4.0,2.0,7.0,5.454021,5.738437
table,table_header_levels_auto,679,153,1.334315,1.0,1.0,2.0,1.342525,1.337307
main,caption_words,2329,247,49.941176,40.0,17.0,74.0,52.070278,52.607163
main,caption_sentences,2329,247,3.456419,3.0,2.0,5.0,3.461625,3.581521
main,caption_font_size_median,2329,247,9.51106,9.963,8.966,9.963,9.557336,9.496518
main,caption_self_contained_score,2329,247,1.159725,1.0,0.0,2.0,1.235374,1.239986
main,internal_font_size_min,2232,247,5.489824,5.8015,2.48575,7.69675,5.622449,5.605963
main,internal_font_size_median,2232,247,8.196135,8.966,6.795,9.963,8.204753,8.215751
main,internal_font_size_max,2232,247,9.667482,9.963,8.966,9.963,9.742684,9.732062
main,color_count_auto,2329,247,5.514813,8.0,0.0,8.0,5.365933,5.44217
main,chromatic_pixel_share,2329,247,0.275944,0.2199,0.0139,0.4618,0.263866,0.262344
main,panels_auto,2356,247,1.264856,1.0,1.0,1.0,1.280161,1.281952
main,complexity_auto,2356,247,1.602292,1.0,1.0,2.0,1.61735,1.62313
main,table_rows_auto,312,124,3.695513,2.0,1.0,4.0,3.891619,3.956667
main,table_columns_auto,312,124,5.958333,4.5,3.0,8.0,5.755536,5.977263
main,table_header_levels_auto,312,124,1.349359,1.0,1.0,2.0,1.350301,1.350219
appendix,caption_words,2948,233,30.827341,21.0,11.0,41.0,32.480091,32.339631
appendix,caption_sentences,2948,233,2.373474,2.0,1.0,3.0,2.451115,2.516053
appendix,caption_font_size_median,2948,233,9.609043,9.963,8.966,9.963,9.585978,9.519796
appendix,caption_self_contained_score,2948,233,0.915875,1.0,0.0,1.0,0.941155,0.939045
appendix,internal_font_size_min,2758,232,6.61938,6.974,4.8925,8.966,6.763666,6.792574
appendix,internal_font_size_median,2758,232,8.445102,8.966,6.977,9.963,8.644601,8.670763
appendix,internal_font_size_max,2758,232,9.449086,9.963,8.966,9.963,9.635272,9.650906
appendix,color_count_auto,2948,233,4.015265,5.0,0.0,8.0,3.923368,3.984554
appendix,chromatic_pixel_share,2948,233,0.206157,0.05085,0.0,0.3556,0.203955,0.202684
appendix,panels_auto,3001,233,1.182939,1.0,1.0,1.0,1.182678,1.180602
appendix,complexity_auto,3001,233,1.335888,1.0,1.0,2.0,1.360447,1.35668
appendix,table_rows_auto,367,90,4.100817,2.0,1.0,4.0,4.151726,4.105307
appendix,table_columns_auto,367,90,5.138965,3.0,2.0,6.0,5.595777,5.710589
appendix,table_header_levels_auto,367,90,1.321526,1.0,1.0,2.0,1.365157,1.339367
main_figure,caption_words,1505,244,49.710963,41.0,17.0,73.0,53.127686,53.907921
main_figure,caption_sentences,1505,244,3.504319,3.0,2.0,5.0,3.429916,3.541459
main_figure,caption_font_size_median,1505,244,9.565284,9.963,8.966,9.963,9.6082,9.540103
main_figure,caption_self_contained_score,1505,244,1.165449,1.0,0.0,2.0,1.255757,1.263185
main_figure,internal_font_size_min,1452,243,4.637145,4.037,2.107,6.974,4.918106,4.892478
main_figure,internal_font_size_median,1452,243,7.912534,8.757,6.19325,9.963,7.866734,7.879659
main_figure,internal_font_size_max,1452,243,9.898513,9.963,8.966,9.963,9.993103,9.966782
main_figure,color_count_auto,1505,244,7.316944,8.0,8.0,8.0,7.247306,7.298341
main_figure,chromatic_pixel_share,1505,244,0.350059,0.3273,0.1668,0.5075,0.351669,0.348902
main_figure,panels_auto,1530,245,1.364706,1.0,1.0,1.0,1.397521,1.400482
main_figure,complexity_auto,1530,245,1.773856,2.0,1.0,2.0,1.815758,1.818445
appendix_figure,caption_words,1474,207,34.356174,25.5,12.0,47.0,37.411008,37.7294
appendix_figure,caption_sentences,1474,207,2.567843,2.0,1.0,3.0,2.727005,2.798587
appendix_figure,caption_font_size_median,1474,207,9.618055,9.963,8.966,9.963,9.612095,9.542339
appendix_figure,caption_self_contained_score,1474,207,1.002035,1.0,0.0,2.0,1.093437,1.101861
appendix_figure,internal_font_size_min,1326,202,5.336247,5.477,2.224,8.19475,5.699016,5.734344
appendix_figure,internal_font_size_median,1326,202,7.800996,8.4765,6.087,9.963,8.12035,8.166152
appendix_figure,internal_font_size_max,1326,202,9.444624,9.963,8.966,9.963,9.653599,9.672128
appendix_figure,color_count_auto,1474,207,6.715061,8.0,8.0,8.0,6.743656,6.768176
appendix_figure,chromatic_pixel_share,1474,207,0.334418,0.2887,0.107825,0.530825,0.337851,0.337342
appendix_figure,panels_auto,1518,207,1.322134,1.0,1.0,1.0,1.330127,1.32718
appendix_figure,complexity_auto,1518,207,1.589592,1.0,1.0,2.0,1.635449,1.629817
main_table,caption_words,824,216,50.36165,38.0,17.0,76.25,50.432555,50.666488
main_table,caption_sentences,824,216,3.368932,3.0,2.0,5.0,3.529476,3.653629
main_table,caption_font_size_median,824,216,9.412022,9.963,8.966,9.963,9.465563,9.423265
main_table,caption_self_contained_score,824,216,1.149272,1.0,0.0,2.0,1.199913,1.201858
main_table,internal_font_size_min,780,215,7.077119,6.974,5.978,8.1805,7.041929,7.047905
main_table,internal_font_size_median,780,215,8.724068,9.963,7.462,9.963,8.806779,8.832108
main_table,internal_font_size_max,780,215,9.237408,9.963,8.20575,9.963,9.361008,9.391315
main_table,color_count_auto,824,216,2.223301,0.0,0.0,7.0,2.235733,2.303381
main_table,chromatic_pixel_share,824,216,0.140577,0.0008,0.0,0.0766,0.130982,0.128687
main_table,panels_auto,826,216,1.079903,1.0,1.0,1.0,1.077436,1.073164
main_table,complexity_auto,826,216,1.284504,1.0,1.0,2.0,1.273204,1.276324
main_table,table_rows_auto,312,124,3.695513,2.0,1.0,4.0,3.891619,3.956667
main_table,table_columns_auto,312,124,5.958333,4.5,3.0,8.0,5.755536,5.977263
main_table,table_header_levels_auto,312,124,1.349359,1.0,1.0,2.0,1.350301,1.350219
appendix_table,caption_words,1474,204,27.298507,18.0,10.0,35.0,28.055189,27.487034
appendix_table,caption_sentences,1474,204,2.179104,2.0,1.0,3.0,2.226681,2.296962
appendix_table,caption_font_size_median,1474,204,9.600031,9.963,8.966,9.963,9.575928,9.507702
appendix_table,caption_self_contained_score,1474,204,0.829715,1.0,0.0,1.0,0.836426,0.829141
appendix_table,internal_font_size_min,1432,202,7.807533,7.97,6.87325,8.966,7.774159,7.774687
appendix_table,internal_font_size_median,1432,202,9.041529,9.963,8.498,9.963,9.153289,9.160377
appendix_table,internal_font_size_max,1432,202,9.453217,9.963,8.966,9.963,9.61016,9.616542
appendix_table,color_count_auto,1474,204,1.315468,0.0,0.0,0.0,1.38673,1.437771
appendix_table,chromatic_pixel_share,1474,204,0.077895,0.0,0.0,0.00425,0.077497,0.07304
appendix_table,panels_auto,1483,205,1.040459,1.0,1.0,1.0,1.04363,1.047077
appendix_table,complexity_auto,1483,205,1.076197,1.0,1.0,1.0,1.09659,1.095181
appendix_table,table_rows_auto,367,90,4.100817,2.0,1.0,4.0,4.151726,4.105307
appendix_table,table_columns_auto,367,90,5.138965,3.0,2.0,6.0,5.595777,5.710589
appendix_table,table_header_levels_auto,367,90,1.321526,1.0,1.0,2.0,1.365157,1.339367
