scope,statistic,ngram_order,value,object_count,object_share,papers_present,paper_prevalence,conference_equal_paper_prevalence
all,caption_move_sequence,,title>setup>comparison>main_finding,385,0.071296,132,0.528,0.52
all,caption_move_sequence,,title>encoding_key,39,0.007222,25,0.1,0.1
all,caption_move_sequence,,title>setup>encoding_key>comparison,368,0.068148,137,0.548,0.543333
all,caption_move_sequence,,title>setup>encoding_key>appendix_pointer,26,0.004815,22,0.088,0.076667
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding,345,0.063889,121,0.484,0.486667
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition>main_finding,4,0.000741,2,0.008,0.008333
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>appendix_pointer,40,0.007407,24,0.096,0.096667
all,caption_move_sequence,,title>setup>encoding_key,452,0.083704,146,0.584,0.576667
all,caption_move_sequence,,title>setup>comparison,609,0.112778,156,0.624,0.615
all,caption_move_sequence,,title>setup,782,0.144815,172,0.688,0.676667
all,caption_move_sequence,,title,532,0.098519,134,0.536,0.53
all,caption_move_sequence,,title>setup>comparison>encoding_key,58,0.010741,35,0.14,0.133333
all,caption_move_sequence,,title>setup>uncertainty_definition>comparison>main_finding,11,0.002037,5,0.02,0.016667
all,caption_move_sequence,,title>setup>uncertainty_definition>comparison>appendix_pointer,4,0.000741,2,0.008,0.006667
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition,73,0.013519,38,0.152,0.155
all,caption_move_sequence,,title>comparison,129,0.023889,46,0.184,0.181667
all,caption_move_sequence,,title>setup>abbreviation_definition,81,0.015,46,0.184,0.19
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition,49,0.009074,30,0.12,0.115
all,caption_move_sequence,,title>setup>uncertainty_definition,27,0.005,18,0.072,0.076667
all,caption_move_sequence,,title>setup>main_finding,138,0.025556,64,0.256,0.25
all,caption_move_sequence,,title>setup>encoding_key>comparison>appendix_pointer,30,0.005556,18,0.072,0.071667
all,caption_move_sequence,,title>setup>encoding_key>uncertainty_definition,27,0.005,18,0.072,0.071667
all,caption_move_sequence,,title>comparison>appendix_pointer,36,0.006667,5,0.02,0.02
all,caption_move_sequence,,title>setup>encoding_key>comparison>abbreviation_definition,56,0.01037,26,0.104,0.11
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>abbreviation_definition,49,0.009074,23,0.092,0.098333
all,caption_move_sequence,,title>comparison>setup,6,0.001111,4,0.016,0.015
all,caption_move_sequence,,title>comparison>main_finding,74,0.013704,34,0.136,0.136667
all,caption_move_sequence,,title>main_finding,20,0.003704,16,0.064,0.058333
all,caption_move_sequence,,title>setup>appendix_pointer,175,0.032407,20,0.08,0.075
all,caption_move_sequence,,title>setup>encoding_key>main_finding,123,0.022778,69,0.276,0.276667
all,caption_move_sequence,,title>setup>comparison>main_finding>appendix_pointer,28,0.005185,22,0.088,0.083333
all,caption_move_sequence,,title>setup>encoding_key>abbreviation_definition>comparison>main_finding,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>encoding_key>comparison>main_finding>abbreviation_definition>appendix_pointer,4,0.000741,4,0.016,0.018333
all,caption_move_sequence,,title>setup>encoding_key>comparison>uncertainty_definition,38,0.007037,21,0.084,0.088333
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>abbreviation_definition,10,0.001852,7,0.028,0.03
all,caption_move_sequence,,title>comparison>encoding_key>main_finding,11,0.002037,4,0.016,0.015
all,caption_move_sequence,,title>appendix_pointer>setup>encoding_key,1,0.000185,1,0.004,0.003333
all,caption_move_sequence,,title>setup>comparison>abbreviation_definition,75,0.013889,36,0.144,0.146667
all,caption_move_sequence,,title>setup>uncertainty_definition>comparison,3,0.000556,3,0.012,0.011667
all,caption_move_sequence,,title>setup>comparison>encoding_key>appendix_pointer,5,0.000926,4,0.016,0.013333
all,caption_move_sequence,,title>setup>comparison>encoding_key>uncertainty_definition>appendix_pointer,5,0.000926,1,0.004,0.003333
all,caption_move_sequence,,title>comparison>encoding_key,6,0.001111,6,0.024,0.023333
all,caption_move_sequence,,title>setup>comparison>uncertainty_definition>encoding_key,7,0.001296,2,0.008,0.006667
