dimension,value,papers,papers_present,paper_prevalence,conference_equal_paper_prevalence,object_count,object_share,paper_normalized_object_share,conference_equal_paper_normalized_share
kind,figure,250,246,0.984,0.983333,3071,0.568704,0.561145,0.56661
kind,table,250,237,0.948,0.946667,2329,0.431296,0.426855,0.420057
placement,appendix,250,240,0.96,0.96,3356,0.621481,0.542087,0.538108
placement,main,250,247,0.988,0.986667,2044,0.378519,0.445913,0.448559
module,1 Introduction,250,1,0.004,0.003333,2,0.00037,0.000667,0.000556
module,3 Experiments / 3.1 Arithmetic Tasks,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,3.4 Long-Context Natural-Language,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Ablation 5.1.1 / training-pair construction,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Ablation 5.1.2 / Surface Distance,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Ablation 5.1.2 / single-geometry fitting,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Algorithm 2 data-flow diagram,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Algorithm 3 data-flow diagram,250,1,0.004,0.003333,1,0.000185,0.000333,0.000278
module,Appendix / GenEval text-to-image,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix / ImgEdit-Bench,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix / V2VBench,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix / VBench text-to-video,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix / detailed training dataset statistics,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix / efficiency limitation,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix / inference efficiency,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix / limitations / failure cases,250,1,0.004,0.003333,1,0.000185,0.00019,0.000159
module,Appendix 9.1 / auto-decoder implementation,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.2 / Chamfer evolution,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.3 / additional novel pose results,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.3 / fixed geometry feature across poses,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.3 / full-training matched cases,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.4 / body-shape and gender conditioning,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.4 / loose clothing and hair,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.4 / loose-clothing deformation,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.5 / identity interpolation,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.5 / outerwear interpolation,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
module,Appendix 9.6 / SMPL UV parameterization,250,1,0.004,0.003333,1,0.000185,0.000154,0.000128
