left_dimension,left_value,right_dimension,right_value,eligible_papers,papers_present,paper_prevalence_within_left,denominator_objects,object_count,conditional_object_share,paper_normalized_conditional_share,conference_equal_paper_normalized_conditional_share
kind,figure,placement,appendix,246,219,0.890244,3071,1802,0.58678,0.471596,0.46991
kind,figure,placement,main,246,244,0.99187,3071,1269,0.41322,0.528404,0.53009
kind,table,placement,appendix,237,215,0.907173,2329,1554,0.667239,0.586756,0.581328
kind,table,placement,main,237,213,0.898734,2329,775,0.332761,0.413244,0.418672
kind,figure,width,double_column,246,58,0.235772,3071,321,0.104526,0.127517,0.122211
kind,figure,width,inset,246,53,0.215447,3071,118,0.038424,0.048197,0.047584
kind,figure,width,page_width,246,209,0.849593,3071,1858,0.605015,0.602806,0.596886
kind,figure,width,single_column,246,162,0.658537,3071,774,0.252035,0.22148,0.233319
kind,table,width,double_column,237,60,0.253165,2329,218,0.093602,0.109932,0.104826
kind,table,width,inset,237,67,0.2827,2329,217,0.093173,0.098885,0.09897
kind,table,width,page_width,237,182,0.767932,2329,1213,0.520824,0.455071,0.44188
kind,table,width,single_column,237,161,0.679325,2329,681,0.2924,0.336112,0.354324
kind,figure,module,1 Introduction,246,1,0.004065,3071,2,0.000651,0.000813,0.000676
kind,figure,module,3.4 Long-Context Natural-Language,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Ablation 5.1.1 / training-pair construction,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Ablation 5.1.2 / single-geometry fitting,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Algorithm 2 data-flow diagram,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Algorithm 3 data-flow diagram,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix / efficiency limitation,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix / limitations / failure cases,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix 9.1 / auto-decoder implementation,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.2 / Chamfer evolution,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.3 / additional novel pose results,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.3 / fixed geometry feature across poses,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.3 / full-training matched cases,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.4 / body-shape and gender conditioning,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.4 / loose clothing and hair,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.4 / loose-clothing deformation,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.5 / identity interpolation,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.5 / outerwear interpolation,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix 9.6 / SMPL UV parameterization,246,1,0.004065,3071,1,0.000326,0.000194,0.000161
kind,figure,module,Appendix A,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix A / mutually-exciting examples,246,1,0.004065,3071,1,0.000326,0.001355,0.001126
kind,figure,module,Appendix A / refractory examples,246,1,0.004065,3071,1,0.000326,0.001355,0.001126
kind,figure,module,Appendix A.1 rendered markers,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix A.3 cross-dataset SFT versus GRPO,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix B / Result 4 finite-size check,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix B / Result 4 noiseless phase diagram,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix B.1,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.1 Interatomic Distance and Energy Histograms,246,1,0.004065,3071,1,0.000326,0.000813,0.00102
kind,figure,module,Appendix B.1 Residual Vector Quantization and Delay Pattern,246,1,0.004065,3071,1,0.000326,0.000581,0.000483
kind,figure,module,Appendix B.10,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.2,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.3,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.3.2; Lemma 12,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix B.4,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.4 Numerical illustration,246,1,0.004065,3071,1,0.000326,0.000813,0.00102
kind,figure,module,Appendix B.5,246,1,0.004065,3071,2,0.000651,0.000246,0.000309
kind,figure,module,Appendix B.6,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.7,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.8,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix B.9,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix C / evaluation details,246,1,0.004065,3071,1,0.000326,0.000313,0.00026
kind,figure,module,Appendix C overview,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix C reparameterization,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix C.1,246,1,0.004065,3071,3,0.000977,0.00037,0.000464
kind,figure,module,Appendix C.2,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix C.2.1 / LASSO risk crossovers and λopt,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix C.2.1 / LASSO spectra phases IV–VIb,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix C.2.1 / LASSO spectra phases Ib–III,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix C.2; another equivalence-class example,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix C.3,246,1,0.004065,3071,1,0.000326,0.000123,0.000155
kind,figure,module,Appendix C.3; CP(G) presentation,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix C.4 Numerical Illustration,246,1,0.004065,3071,1,0.000326,0.000813,0.00102
kind,figure,module,Appendix D,246,2,0.00813,3071,8,0.002605,0.001232,0.001389
kind,figure,module,Appendix D / FS1000 attention expansion,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D / FS1000 representation alignment,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D / Fis-V attention,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D / Fis-V representation alignment,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D / RG attention,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D / RG representation alignment,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D / latent-to-target similarity,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D / prediction fidelity,246,1,0.004065,3071,1,0.000326,0.00037,0.000464
kind,figure,module,Appendix D exact alignment bound in plateau discussion,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix D.2 Logical Reasoning Task,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix D.2 Pathwise ESD for Learned Kernels,246,1,0.004065,3071,1,0.000326,0.000813,0.00102
kind,figure,module,Appendix D.4 Tower of Hanoi Experiment Details,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix D.4; finite-sample simulation results,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix D.5 SSMs and Transformer Baselines,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix D.5; Hong Kong stock-market dataset,246,1,0.004065,3071,1,0.000326,0.000508,0.000422
kind,figure,module,Appendix D.6 Ablating Training Steps and Digit Length for Multiplication,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix D.8 Task Mixture,246,1,0.004065,3071,2,0.000651,0.000813,0.000676
kind,figure,module,Appendix E,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E / 3B reuse extension,246,1,0.004065,3071,1,0.000326,0.000813,0.000676
kind,figure,module,Appendix E / PLF ablation,246,1,0.004065,3071,2,0.000651,0.000625,0.00052
kind,figure,module,Appendix E / additional qualitative results,246,1,0.004065,3071,1,0.000326,0.000313,0.00026
kind,figure,module,Appendix E / binary Bayesian / conditional CDF,246,1,0.004065,3071,2,0.000651,0.000813,0.00102
kind,figure,module,Appendix E / binary Bayesian revenue,246,1,0.004065,3071,1,0.000326,0.000407,0.00051
kind,figure,module,Appendix E / caption-callout mismatch,246,1,0.004065,3071,1,0.000326,0.000313,0.00026
kind,figure,module,Appendix E / qualitative float on p.32,246,1,0.004065,3071,1,0.000326,0.000313,0.00026
kind,figure,module,Appendix E / reflection ablation,246,1,0.004065,3071,1,0.000326,0.000313,0.00026
kind,figure,module,Appendix E / shape-ratio analysis,246,1,0.004065,3071,1,0.000326,0.000813,0.000676
kind,figure,module,Appendix E / three-value Bayesian / conditional CDF,246,1,0.004065,3071,3,0.000977,0.00122,0.001531
kind,figure,module,Appendix E / three-value Bayesian / revenue,246,1,0.004065,3071,1,0.000326,0.000407,0.00051
kind,figure,module,Appendix E Code Fixing Agent Setup,246,1,0.004065,3071,1,0.000326,0.000407,0.000338
kind,figure,module,Appendix E layer norm geometry,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E layer norm recovery,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E.2 Recursive Decomposition Experiments,246,1,0.004065,3071,1,0.000326,0.000581,0.000729
kind,figure,module,Appendix E.2 alignment/uniformity batch-size view,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E.2 alignment/uniformity dimensionality view,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E.2 encoder pushforward,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E.2 thin-shell concentration,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E.2 whitening/uniformity: normalized,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
kind,figure,module,Appendix E.2 whitening/uniformity: unnormalized,246,1,0.004065,3071,1,0.000326,0.00037,0.000307
