left_dimension,left_value,right_dimension,right_value,papers,papers_present,paper_prevalence,conference_equal_paper_prevalence,object_count,object_share,paper_normalized_object_share,conference_equal_paper_normalized_share
purpose,ablation,kind,figure,250,165,0.66,0.65,627,0.116111,0.100323,0.100466
purpose,ablation,kind,table,250,169,0.676,0.668333,510,0.094444,0.094454,0.092524
purpose,dataset,kind,figure,250,81,0.324,0.323333,171,0.031667,0.031911,0.031767
purpose,dataset,kind,table,250,102,0.408,0.4,271,0.050185,0.046878,0.045376
purpose,efficiency_cost,kind,figure,250,133,0.532,0.536667,486,0.09,0.073022,0.075256
purpose,efficiency_cost,kind,table,250,138,0.552,0.548333,366,0.067778,0.071403,0.070423
purpose,experimental_design,kind,figure,250,174,0.696,0.696667,454,0.084074,0.087459,0.087152
purpose,experimental_design,kind,table,250,143,0.572,0.581667,403,0.07463,0.071554,0.071371
purpose,failure,kind,figure,250,119,0.476,0.481667,296,0.054815,0.050953,0.050701
purpose,failure,kind,table,250,61,0.244,0.245,121,0.022407,0.024579,0.023575
purpose,headline,kind,figure,250,213,0.852,0.851667,414,0.076667,0.091994,0.092847
purpose,headline,kind,table,250,147,0.588,0.585,228,0.042222,0.052083,0.051491
purpose,main_comparison,kind,figure,250,218,0.872,0.871667,931,0.172407,0.185248,0.185512
purpose,main_comparison,kind,table,250,222,0.888,0.883333,1239,0.229444,0.23449,0.228679
purpose,mechanism,kind,figure,250,200,0.8,0.8,847,0.156852,0.149238,0.151637
purpose,mechanism,kind,table,250,126,0.504,0.493333,314,0.058148,0.057994,0.057031
purpose,method_interface,kind,figure,250,222,0.888,0.888333,644,0.119259,0.127815,0.125968
purpose,method_interface,kind,table,250,64,0.256,0.256667,134,0.024815,0.024157,0.024315
purpose,other,kind,figure,250,14,0.056,0.056667,20,0.003704,0.003513,0.003636
purpose,other,kind,table,250,20,0.08,0.078333,24,0.004444,0.005078,0.004843
purpose,qualitative_evidence,kind,figure,250,194,0.776,0.775,923,0.170926,0.182802,0.182546
purpose,qualitative_evidence,kind,table,250,60,0.24,0.231667,140,0.025926,0.025452,0.024584
purpose,reproduction,kind,figure,250,109,0.436,0.435,373,0.069074,0.057709,0.057305
purpose,reproduction,kind,table,250,181,0.724,0.725,718,0.132963,0.123026,0.121059
purpose,robustness,kind,figure,250,203,0.812,0.818333,1224,0.226667,0.202325,0.206738
purpose,robustness,kind,table,250,188,0.752,0.743333,826,0.152963,0.153649,0.149699
purpose,theory_mechanism,kind,figure,250,207,0.828,0.833333,552,0.102222,0.129191,0.131181
purpose,theory_mechanism,kind,table,250,66,0.264,0.271667,101,0.018704,0.025394,0.026676
purpose,ablation,placement,appendix,250,166,0.664,0.653333,755,0.139815,0.112991,0.110932
purpose,ablation,placement,main,250,170,0.68,0.671667,382,0.070741,0.081786,0.082057
purpose,dataset,placement,appendix,250,115,0.46,0.453333,328,0.060741,0.055549,0.054515
purpose,dataset,placement,main,250,65,0.26,0.253333,114,0.021111,0.02324,0.022628
purpose,efficiency_cost,placement,appendix,250,142,0.568,0.566667,540,0.1,0.077289,0.078582
purpose,efficiency_cost,placement,main,250,136,0.544,0.55,312,0.057778,0.067137,0.067097
purpose,experimental_design,placement,appendix,250,155,0.62,0.616667,503,0.093148,0.085914,0.085468
purpose,experimental_design,placement,main,250,161,0.644,0.646667,354,0.065556,0.073099,0.073056
purpose,failure,placement,appendix,250,121,0.484,0.483333,318,0.058889,0.052498,0.050805
purpose,failure,placement,main,250,73,0.292,0.305,99,0.018333,0.023033,0.023471
purpose,headline,placement,appendix,250,18,0.072,0.068333,29,0.00537,0.004888,0.004422
purpose,headline,placement,main,250,238,0.952,0.953333,613,0.113519,0.139189,0.139916
purpose,main_comparison,placement,appendix,250,202,0.808,0.793333,1079,0.199815,0.180707,0.175705
purpose,main_comparison,placement,main,250,244,0.976,0.973333,1091,0.202037,0.239031,0.238487
purpose,mechanism,placement,appendix,250,166,0.664,0.658333,681,0.126111,0.109207,0.109307
purpose,mechanism,placement,main,250,191,0.764,0.766667,480,0.088889,0.098026,0.099361
purpose,method_interface,placement,appendix,250,113,0.452,0.435,328,0.060741,0.050793,0.048802
purpose,method_interface,placement,main,250,217,0.868,0.87,450,0.083333,0.101179,0.10148
purpose,other,placement,appendix,250,30,0.12,0.118333,40,0.007407,0.008019,0.007844
purpose,other,placement,main,250,3,0.012,0.011667,4,0.000741,0.000572,0.000635
purpose,qualitative_evidence,placement,appendix,250,170,0.68,0.685,722,0.133704,0.129564,0.128941
purpose,qualitative_evidence,placement,main,250,159,0.636,0.635,341,0.063148,0.07869,0.078189
purpose,reproduction,placement,appendix,250,197,0.788,0.788333,1033,0.191296,0.169536,0.167207
purpose,reproduction,placement,main,250,40,0.16,0.161667,58,0.010741,0.011198,0.011157
purpose,robustness,placement,appendix,250,211,0.844,0.838333,1535,0.284259,0.240769,0.239598
purpose,robustness,placement,main,250,194,0.776,0.776667,515,0.09537,0.115205,0.116839
purpose,theory_mechanism,placement,appendix,250,97,0.388,0.385,216,0.04,0.048101,0.04872
purpose,theory_mechanism,placement,main,250,198,0.792,0.8,437,0.080926,0.106483,0.109138
purpose,ablation,types,architecture,250,2,0.008,0.006667,2,0.00037,0.000389,0.000324
purpose,ablation,types,area,250,18,0.072,0.071667,35,0.006481,0.006741,0.006779
purpose,ablation,types,bar,250,54,0.216,0.21,91,0.016852,0.016668,0.016102
