scope,metric,n,eligible_papers,mean,median,q1,q3,min,max,paper_normalized_mean,paper_normalized_median,conference_equal_paper_normalized_mean
all,caption_words,5400,247,31.762963,23.0,12.0,44.0,0.0,276.0,34.300445,30.25,34.529685
all,panels,5400,247,2.672593,1.0,1.0,3.0,1.0,112.0,2.716522,2.1,2.717293
all,series,2113,238,5.19877,4.0,2.0,6.0,0.0,64.0,4.338219,3.788889,4.359751
all,legend_items,3030,245,2.319802,1.0,0.0,4.0,0.0,45.0,2.463692,2.133333,2.4827
all,annotations,3060,246,14.175817,7.0,2.0,14.0,0.0,2500.0,14.480794,9.583333,14.935232
all,data_marks_estimate,2536,242,824.167981,46.0,20.0,130.0,0.0,189728.0,991.035405,70.5,1097.61585
all,complexity,3071,246,3.521003,3.0,3.0,4.0,1.0,5.0,3.539113,3.6,3.539599
all,font_size_min,5399,247,6.522914,6.0,5.5,7.55,0.785,14.0,6.711853,6.653846,6.729285
all,font_size_median,5399,247,7.685821,8.0,7.0,8.0,1.635,18.0,7.847887,7.847826,7.878076
all,font_size_max,5394,247,9.512499,9.0,8.0,10.0,4.7,26.0,9.597699,9.381182,9.649952
all,color_count,3071,246,6.044611,5.0,4.0,7.0,0.0,256.0,6.052696,5.279221,5.956238
all,marker_types,2170,234,1.185253,1.0,0.0,1.0,0.0,13.0,1.091185,0.8,1.105212
all,line_styles,2949,246,1.467616,1.0,0.0,2.0,0.0,9.0,1.219447,1.166667,1.240008
all,reference_lines,3050,246,0.386557,0.0,0.0,0.0,0.0,60.0,0.430506,0.085145,0.458622
all,line_width_pt,2394,242,1.080234,1.0,0.8,1.2,0.0,6.0,1.058268,1.0,1.064652
all,table_rows,2319,237,9.603708,6.0,4.0,12.0,1.0,188.0,9.290987,8.0,9.331275
all,table_columns,2328,237,6.458763,5.0,4.0,8.0,1.0,61.0,6.258729,6.0,6.208197
all,table_header_levels,2328,237,1.346649,1.0,1.0,2.0,0.0,3.0,1.346074,1.3,1.347139
all,table_row_groups,2312,237,1.602941,1.0,0.0,2.0,0.0,80.0,1.64835,1.5,1.645358
all,decimal_precision,1752,222,1.908676,2.0,1.0,2.0,0.0,6.0,1.909469,2.0,1.913158
kind=figure,caption_words,3071,246,36.544448,28.0,14.0,51.0,0.0,276.0,40.617273,37.596154,41.022726
kind=figure,panels,3071,246,3.941062,2.0,1.0,4.0,1.0,112.0,3.908378,3.0,3.898872
kind=figure,series,2113,238,5.19877,4.0,2.0,6.0,0.0,64.0,4.338219,3.788889,4.359751
kind=figure,legend_items,3030,245,2.319802,1.0,0.0,4.0,0.0,45.0,2.463692,2.133333,2.4827
kind=figure,annotations,3060,246,14.175817,7.0,2.0,14.0,0.0,2500.0,14.480794,9.583333,14.935232
kind=figure,data_marks_estimate,2536,242,824.167981,46.0,20.0,130.0,0.0,189728.0,991.035405,70.5,1097.61585
kind=figure,complexity,3071,246,3.521003,3.0,3.0,4.0,1.0,5.0,3.539113,3.6,3.539599
kind=figure,font_size_min,3070,246,5.673968,5.5,5.0,6.0,0.785,14.0,5.823327,5.959064,5.846746
kind=figure,font_size_median,3070,246,7.719093,8.0,7.0,8.0,1.635,18.0,7.817192,7.922619,7.84234
kind=figure,font_size_max,3070,246,10.664214,10.0,9.5,11.0,4.7,26.0,10.71818,10.25,10.762626
kind=figure,color_count,3071,246,6.044611,5.0,4.0,7.0,0.0,256.0,6.052696,5.279221,5.956238
kind=figure,marker_types,2170,234,1.185253,1.0,0.0,1.0,0.0,13.0,1.091185,0.8,1.105212
kind=figure,line_styles,2949,246,1.467616,1.0,0.0,2.0,0.0,9.0,1.219447,1.166667,1.240008
kind=figure,reference_lines,3050,246,0.386557,0.0,0.0,0.0,0.0,60.0,0.430506,0.085145,0.458622
kind=figure,line_width_pt,2394,242,1.080234,1.0,0.8,1.2,0.0,6.0,1.058268,1.0,1.064652
kind=table,caption_words,2329,237,25.458137,19.0,11.0,34.0,0.0,174.0,26.288382,23.25,26.333823
kind=table,panels,2329,237,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
kind=table,font_size_min,2329,237,7.641964,8.0,6.8,8.5,4.2,10.909,7.964498,8.0,7.991749
kind=table,font_size_median,2329,237,7.641964,8.0,6.8,8.5,4.2,10.909,7.964498,8.0,7.991749
kind=table,font_size_max,2324,237,7.991085,8.0,7.2,8.5,4.7,11.5,8.256816,8.416667,8.286505
kind=table,table_rows,2319,237,9.603708,6.0,4.0,12.0,1.0,188.0,9.290987,8.0,9.331275
kind=table,table_columns,2328,237,6.458763,5.0,4.0,8.0,1.0,61.0,6.258729,6.0,6.208197
kind=table,table_header_levels,2328,237,1.346649,1.0,1.0,2.0,0.0,3.0,1.346074,1.3,1.347139
kind=table,table_row_groups,2312,237,1.602941,1.0,0.0,2.0,0.0,80.0,1.64835,1.5,1.645358
kind=table,decimal_precision,1752,222,1.908676,2.0,1.0,2.0,0.0,6.0,1.909469,2.0,1.913158
placement=main,caption_words,2044,247,38.522994,31.0,16.0,53.0,0.0,220.0,41.541312,38.2,41.884709
placement=main,panels,2044,247,2.364481,1.0,1.0,3.0,1.0,44.0,2.389889,2.076923,2.391298
