theme,theme_zh,papers,papers_present,paper_prevalence,conference_equal_paper_prevalence,objects,object_count,object_share,conference_equal_paper_normalized_object_share
equation_theorem_or_proof,公式、定理或证明,250,162,0.648,0.658333,5400,524,0.097037,0.141997
algorithm_or_execution,算法或执行流程,250,112,0.448,0.453333,5400,248,0.045926,0.056353
method_component_or_pipeline,方法组件或流程,250,244,0.976,0.976667,5400,1541,0.28537,0.310573
experimental_protocol_or_setup,实验协议或设置,250,239,0.956,0.956667,5400,1764,0.326667,0.330729
main_result_or_comparison,主结果或比较,250,244,0.976,0.973333,5400,2107,0.390185,0.389568
ablation_or_mechanism_test,消融或机制检验,250,225,0.9,0.895,5400,1011,0.187222,0.209674
robustness_or_generalization,鲁棒性或泛化,250,161,0.644,0.645,5400,430,0.07963,0.087432
efficiency_cost_or_failure,效率、成本或失败,250,203,0.812,0.81,5400,966,0.178889,0.188521
qualitative_evidence,质性证据,250,211,0.844,0.836667,5400,954,0.176667,0.187249
main_appendix_handoff,正文—附录交接,250,239,0.956,0.953333,5400,2329,0.431296,0.420619
