source,theme,theme_zh,papers,papers_present,paper_prevalence,conference_equal_paper_prevalence
reusable,method_interface,方法接口图,250,123,0.492,0.483333
reusable,matched_multi_panel,同构多面板对照,250,145,0.58,0.568333
reusable,trend_plus_exact_table,趋势图与精确数值表配对,250,159,0.636,0.641667
reusable,grouped_booktabs_table,分组 booktabs 表,250,55,0.22,0.225
reusable,cost_quality_pair,效果—成本配对,250,89,0.356,0.363333
reusable,mechanism_ablation_chain,机制—消融证据链,250,186,0.744,0.735
reusable,qualitative_matched_grid,匹配式质性网格,250,54,0.216,0.21
reusable,direct_labels_reference_lines,直接标注与参考线,250,41,0.164,0.158333
reusable,failure_aware_display,显式失败编码,250,75,0.3,0.296667
reusable,main_appendix_handoff,正文—附录交接,250,79,0.316,0.321667
failure,missing_uncertainty,缺少不确定性,250,145,0.58,0.573333
failure,color_only_or_grayscale_unsafe,颜色单通道或灰度失效,250,126,0.504,0.503333
failure,caption_not_self_contained,图注/表注不自包含,250,69,0.276,0.281667
failure,small_text_or_dense_layout,小字或高密度拥挤,250,128,0.512,0.51
failure,qualitative_sampling_gap,质性样本协议缺口,250,61,0.244,0.236667
failure,missing_denominator_or_protocol,分母、聚合或协议缺口,250,184,0.736,0.725
failure,raster_or_source_gap,栅格清晰度或视觉源码缺口,250,70,0.28,0.278333
failure,inconsistent_visual_semantics,跨对象视觉语义不一致,250,38,0.152,0.146667
failure,weak_mechanism_attribution,机制归因不足,250,7,0.028,0.026667
failure,undefined_failure_or_censoring,失败/截断定义不足,250,17,0.068,0.065
