statistic,value,figure_count,figure_share,papers_present,paper_prevalence,conference_equal_paper_prevalence
hex,#000000,784,0.255291,142,0.568,0.571667
hex,#FFFFFF,709,0.230869,140,0.56,0.551667
hex,#1F77B4,388,0.126343,70,0.28,0.288333
hex,#2CA02C,324,0.105503,66,0.264,0.271667
hex,#FF7F0E,317,0.103224,62,0.248,0.256667
hex,#D62728,277,0.090199,55,0.22,0.23
hex,#FF0000,211,0.068707,56,0.224,0.228333
hex,#222222,181,0.058938,36,0.144,0.141667
hex,#D9D9D9,138,0.044937,60,0.24,0.231667
hex,#5254A3,132,0.042983,1,0.004,0.005
hex,#F28E2B,131,0.042657,43,0.172,0.166667
hex,#0000FF,125,0.040703,27,0.108,0.111667
hex,#F2F2F2,114,0.037121,32,0.128,0.126667
hex,#FDE725,93,0.030283,34,0.136,0.136667
hex,#111111,83,0.027027,17,0.068,0.068333
hex,#808080,81,0.026376,32,0.128,0.133333
hex,#F0443E,80,0.02605,2,0.008,0.01
hex,#440154,78,0.025399,27,0.108,0.111667
hex,#E15759,78,0.025399,22,0.088,0.09
hex,#59A14F,75,0.024422,21,0.084,0.085
hex,#666666,74,0.024096,23,0.092,0.096667
hex,#7F7F7F,70,0.022794,34,0.136,0.145
hex,#9467BD,67,0.021817,30,0.12,0.126667
hex,#B0B0B0,64,0.02084,20,0.08,0.078333
hex,#333333,63,0.020514,23,0.092,0.091667
hex,#8C564B,61,0.019863,30,0.12,0.128333
hex,#D9EAD3,58,0.018886,17,0.068,0.068333
hex,#31688E,56,0.018235,20,0.08,0.076667
hex,#35B779,55,0.017909,19,0.076,0.073333
hex,#008000,53,0.017258,20,0.08,0.081667
hex,#4C78A8,52,0.016933,22,0.088,0.085
hex,#FFF2CC,50,0.016281,16,0.064,0.065
hex,#377EB8,49,0.015956,12,0.048,0.048333
hex,#777777,49,0.015956,23,0.092,0.095
hex,#4E79A7,48,0.01563,12,0.048,0.05
hex,#BDBDBD,48,0.01563,27,0.108,0.108333
hex,#2166AC,47,0.015304,10,0.04,0.041667
hex,#7E57C2,47,0.015304,3,0.012,0.011667
hex,#4285F4,45,0.014653,2,0.008,0.008333
hex,#E377C2,45,0.014653,24,0.096,0.1
hex,#32B7C9,44,0.014328,1,0.004,0.005
hex,#E6B83F,44,0.014328,1,0.004,0.005
hex,#34A853,42,0.013676,2,0.008,0.01
hex,#6BAED6,42,0.013676,14,0.056,0.056667
hex,#C00000,39,0.012699,12,0.048,0.045
hex,#70AD47,38,0.012374,15,0.06,0.065
hex,#404040,35,0.011397,7,0.028,0.026667
hex,#9ECAE1,35,0.011397,8,0.032,0.035
hex,#17BECF,34,0.011071,16,0.064,0.063333
hex,#B07AA1,34,0.011071,13,0.052,0.048333
hex,#B2182B,34,0.011071,8,0.032,0.035
hex,#FCE4D6,34,0.011071,7,0.028,0.028333
hex,#F4B183,32,0.01042,17,0.068,0.071667
