paper_id,repository,branch,source_path,local_path,bytes,status,origin
iclr-2026-05937b7dc737,ZhouYuxuanYX/Hierarchical-Speculative-Decoding,main,chain-of-thought-hub/notebooks/visualization.ipynb,corpus/visual_sources/iclr-2026-05937b7dc737/ZhouYuxuanYX__Hierarchical-Speculative-Decoding/chain-of-thought-hub/notebooks/visualization.ipynb,261255,acquired,automated_inventory
iclr-2026-0853a1e684f7,omnihuman-lab/omnihuman-lab.github.io,master,v1_5/vis/b-3_4.jpg,corpus/visual_sources/iclr-2026-0853a1e684f7/omnihuman-lab__omnihuman-lab.github.io/v1_5/vis/b-3_4.jpg,339191,acquired,manual_audit
iclr-2026-0853a1e684f7,omnihuman-lab/omnihuman-lab.github.io,master,v1_5/vis/f-13.jpg,corpus/visual_sources/iclr-2026-0853a1e684f7/omnihuman-lab__omnihuman-lab.github.io/v1_5/vis/f-13.jpg,194853,acquired,manual_audit
iclr-2026-0853a1e684f7,omnihuman-lab/omnihuman-lab.github.io,master,v1_5/vis/f-2.jpg,corpus/visual_sources/iclr-2026-0853a1e684f7/omnihuman-lab__omnihuman-lab.github.io/v1_5/vis/f-2.jpg,262272,acquired,manual_audit
iclr-2026-0853a1e684f7,omnihuman-lab/omnihuman-lab.github.io,master,v1_5/vis/f-7.jpg,corpus/visual_sources/iclr-2026-0853a1e684f7/omnihuman-lab__omnihuman-lab.github.io/v1_5/vis/f-7.jpg,209690,acquired,manual_audit
iclr-2026-0853a1e684f7,omnihuman-lab/omnihuman-lab.github.io,master,v1_5/vis/g-4.jpg,corpus/visual_sources/iclr-2026-0853a1e684f7/omnihuman-lab__omnihuman-lab.github.io/v1_5/vis/g-4.jpg,349433,acquired,manual_audit
iclr-2026-0853a1e684f7,omnihuman-lab/omnihuman-lab.github.io,master,v1_5/vis/multi1.jpg,corpus/visual_sources/iclr-2026-0853a1e684f7/omnihuman-lab__omnihuman-lab.github.io/v1_5/vis/multi1.jpg,332704,acquired,manual_audit
iclr-2026-09d94b8d6d44,xzyu02/2952x-25fall-final-project,main,generate_entropy_data.py,corpus/visual_sources/iclr-2026-09d94b8d6d44/xzyu02__2952x-25fall-final-project/generate_entropy_data.py,1974,acquired,manual_audit
iclr-2026-09d94b8d6d44,xzyu02/2952x-25fall-final-project,main,plot_results.py,corpus/visual_sources/iclr-2026-09d94b8d6d44/xzyu02__2952x-25fall-final-project/plot_results.py,6062,acquired,manual_audit
iclr-2026-09d94b8d6d44,xzyu02/2952x-25fall-final-project,main,webb_dataset_2025/entropy/dataset_generation.py,corpus/visual_sources/iclr-2026-09d94b8d6d44/xzyu02__2952x-25fall-final-project/webb_dataset_2025/entropy/dataset_generation.py,8684,acquired,manual_audit
