dimension,value,file_count,papers_present,verified_source_papers_with_style_files,paper_prevalence_with_verified_source,audited_papers,paper_prevalence_all_audited
alpha_values,0.5,31,22,101,0.217822,250,0.088
alpha_values,0.3,50,20,101,0.19802,250,0.08
alpha_values,0.2,38,16,101,0.158416,250,0.064
alpha_values,0.8,36,16,101,0.158416,250,0.064
alpha_values,0.6,18,16,101,0.158416,250,0.064
alpha_values,0.7,17,12,101,0.118812,250,0.048
alpha_values,0.9,14,10,101,0.09901,250,0.04
alpha_values,1.0,12,9,101,0.089109,250,0.036
alpha_values,0.4,11,9,101,0.089109,250,0.036
alpha_values,1,9,8,101,0.079208,250,0.032
alpha_values,0.25,10,6,101,0.059406,250,0.024
alpha_values,0.75,10,5,101,0.049505,250,0.02
alpha_values,0.85,5,5,101,0.049505,250,0.02
alpha_values,0.1,6,4,101,0.039604,250,0.016
alpha_values,0.35,3,3,101,0.029703,250,0.012
alpha_values,0.05,4,2,101,0.019802,250,0.008
alpha_values,10,3,2,101,0.019802,250,0.008
alpha_values,0.55,2,2,101,0.019802,250,0.008
alpha_values,0.93,2,2,101,0.019802,250,0.008
alpha_values,0.08,2,1,101,0.009901,250,0.004
alpha_values,10.0,2,1,101,0.009901,250,0.004
alpha_values,100,2,1,101,0.009901,250,0.004
alpha_values,255,2,1,101,0.009901,250,0.004
alpha_values,0.03,1,1,101,0.009901,250,0.004
alpha_values,0.07,1,1,101,0.009901,250,0.004
alpha_values,0.12,1,1,101,0.009901,250,0.004
alpha_values,0.16,1,1,101,0.009901,250,0.004
alpha_values,0.45,1,1,101,0.009901,250,0.004
alpha_values,0.72,1,1,101,0.009901,250,0.004
alpha_values,0.78,1,1,101,0.009901,250,0.004
alpha_values,0.82,1,1,101,0.009901,250,0.004
alpha_values,0.96,1,1,101,0.009901,250,0.004
alpha_values,2,1,1,101,0.009901,250,0.004
alpha_values,32,1,1,101,0.009901,250,0.004
alpha_values,5,1,1,101,0.009901,250,0.004
dpi_values,300,58,22,101,0.217822,250,0.088
dpi_values,200,10,6,101,0.059406,250,0.024
dpi_values,600,5,3,101,0.029703,250,0.012
dpi_values,150,2,2,101,0.019802,250,0.008
dpi_values,80,2,2,101,0.019802,250,0.008
dpi_values,250,2,1,101,0.009901,250,0.004
dpi_values,100,1,1,101,0.009901,250,0.004
dpi_values,1000,1,1,101,0.009901,250,0.004
dpi_values,110,1,1,101,0.009901,250,0.004
dpi_values,170,1,1,101,0.009901,250,0.004
dpi_values,180,1,1,101,0.009901,250,0.004
dpi_values,220,1,1,101,0.009901,250,0.004
dpi_values,255,1,1,101,0.009901,250,0.004
dpi_values,400,1,1,101,0.009901,250,0.004
export_formats,pdf,51,18,101,0.178218,250,0.072
export_formats,png,36,17,101,0.168317,250,0.068
export_formats,svg,3,2,101,0.019802,250,0.008
export_formats,eps,2,1,101,0.009901,250,0.004
figsizes_inches,10x6,9,6,101,0.059406,250,0.024
figsizes_inches,12x6,6,6,101,0.059406,250,0.024
figsizes_inches,6x4,5,5,101,0.049505,250,0.02
figsizes_inches,12x8,8,4,101,0.039604,250,0.016
figsizes_inches,10x8,5,4,101,0.039604,250,0.016
figsizes_inches,8x6,5,4,101,0.039604,250,0.016
figsizes_inches,8x8,4,4,101,0.039604,250,0.016
figsizes_inches,6x5,7,3,101,0.029703,250,0.012
figsizes_inches,14x10,4,3,101,0.029703,250,0.012
figsizes_inches,10x5,3,3,101,0.029703,250,0.012
figsizes_inches,14x5,3,3,101,0.029703,250,0.012
figsizes_inches,14x6,3,3,101,0.029703,250,0.012
figsizes_inches,4x3,3,3,101,0.029703,250,0.012
figsizes_inches,5x5,3,3,101,0.029703,250,0.012
figsizes_inches,6x6,3,3,101,0.029703,250,0.012
figsizes_inches,7x6,7,2,101,0.019802,250,0.008
figsizes_inches,12x4,3,2,101,0.019802,250,0.008
