conference,module,metric,n_completed,weight_sum,weighted_mean
ICLR,abstract,estimated_words,18,19.939393937,196.205167173
ICLR,abstract,main_word_share,18,19.939393937,0.03539393
ICLR,abstract,figures,18,19.939393937,0.106382979
ICLR,abstract,tables,18,19.939393937,0.0
ICLR,abstract,algorithms,18,19.939393937,0.0
ICLR,abstract,displayed_equations,18,19.939393937,0.0
ICLR,abstract,visual_objects,18,19.939393937,0.106382979
ICLR,abstract,visual_objects_per_1000_words,18,19.939393937,0.556556502
ICLR,abstract,equations_per_1000_words,18,19.939393937,0.0
ICLR,introduction,estimated_words,18,19.939393937,659.104863223
ICLR,introduction,main_word_share,18,19.939393937,0.117232969
ICLR,introduction,figures,18,19.939393937,0.56231003
ICLR,introduction,tables,18,19.939393937,0.0
ICLR,introduction,algorithms,18,19.939393937,0.0
ICLR,introduction,displayed_equations,18,19.939393937,0.168693009
ICLR,introduction,visual_objects,18,19.939393937,0.56231003
ICLR,introduction,visual_objects_per_1000_words,18,19.939393937,0.85961143
ICLR,introduction,equations_per_1000_words,18,19.939393937,0.246940384
ICLR,related_work,estimated_words,18,19.939393937,539.205167171
ICLR,related_work,main_word_share,18,19.939393937,0.097338462
ICLR,related_work,figures,18,19.939393937,0.0
ICLR,related_work,tables,18,19.939393937,0.056231003
ICLR,related_work,algorithms,18,19.939393937,0.0
ICLR,related_work,displayed_equations,18,19.939393937,0.112462006
ICLR,related_work,visual_objects,18,19.939393937,0.056231003
ICLR,related_work,visual_objects_per_1000_words,18,19.939393937,0.076923397
ICLR,related_work,equations_per_1000_words,18,19.939393937,0.152181334
ICLR,method,estimated_words,18,19.939393937,1343.019756838
ICLR,method,main_word_share,18,19.939393937,0.233728861
ICLR,method,figures,18,19.939393937,1.337386018
ICLR,method,tables,18,19.939393937,0.112462006
ICLR,method,algorithms,18,19.939393937,0.168693009
ICLR,method,displayed_equations,18,19.939393937,3.419452888
ICLR,method,visual_objects,18,19.939393937,1.618541033
ICLR,method,visual_objects_per_1000_words,18,19.939393937,1.404460446
ICLR,method,equations_per_1000_words,18,19.939393937,2.493447457
ICLR,theory,estimated_words,18,19.939393937,453.696048638
ICLR,theory,main_word_share,18,19.939393937,0.075809423
ICLR,theory,figures,18,19.939393937,0.112462006
ICLR,theory,tables,18,19.939393937,0.0
